motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
3274438,mixed,BWD->mix,BWD,mix,1,2,1,187,7,2.808,71253,381.032,OL.VMNP,2,2,2,"[GNG.VMNPL3, VLNPL3] -> OL.VMNPL2 -> [OLL2, OLL3]",GNG.VMNP,3,VLNP,3,OL,2,OL,3
3257362,mixed,BWD->mix,BWD,mix,1,2,1,26,7,1.932,50782,1953.154,OL.VMNP,1,2,2,"[GNGL2, GNG.VLNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG,2,GNG.VLNP,2,OL,1,OL,2
3231011,mixed,BWD->mix,BWD,mix,1,2,1,26,4,1.901,51121,1966.192,OL.VMNP,1,2,2,"[GNGL2, VLNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG,2,VLNP,2,OL,1,OL,2
3221424,mixed,BWD->mix,BWD,mix,1,2,1,26,4,1.89,50838,1955.308,OL.VMNP,1,2,2,"[GNGL2, PENP.VMNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG,2,PENP.VMNP,2,OL,1,OL,2
3219460,mixed,BWD->mix,BWD,mix,1,2,1,26,5,2.134,50417,1939.115,OL.VMNP,1,2,2,"[GNG.VMNPL2, VLNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG.VMNP,2,VLNP,2,OL,1,OL,2
3212103,mixed,BWD->mix,BWD,mix,1,2,1,145,13,3.783,5980,41.241,AL.MB,2,2,2,"[LHL3, LH.SNPL3] -> AL.MBL2 -> [MBL2, MBL3]",LH,3,LH.SNP,3,MB,2,MB,3
3210571,mixed,BWD->mix,BWD,mix,1,2,1,26,2,1.877,50764,1952.462,OL.VMNP,1,2,2,"[GNGL2, GNG.LXL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG,2,GNG.LX,2,OL,1,OL,2
3210571,mixed,BWD->mix,BWD,mix,1,2,1,26,2,1.877,50835,1955.192,OL.VMNP,1,2,2,"[GNGL2, LX.VMNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG,2,LX.VMNP,2,OL,1,OL,2
3210571,mixed,BWD->mix,BWD,mix,1,2,1,26,2,1.877,50837,1955.269,OL.VMNP,1,2,2,"[GNGL2, PENP.VLNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG,2,PENP.VLNP,2,OL,1,OL,2
3195107,mixed,BWD->mix,BWD,mix,1,2,1,26,8,2.104,50078,1926.077,OL.VMNP,1,2,2,"[GNG.VLNPL2, GNG.VMNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG.VLNP,2,GNG.VMNP,2,OL,1,OL,2
3134463,mixed,BWD->mix,BWD,mix,1,2,1,26,5,2.026,50134,1928.231,OL.VMNP,1,2,2,"[GNG.VMNPL2, PENP.VMNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG.VMNP,2,PENP.VMNP,2,OL,1,OL,2
3115050,mixed,BWD->mix,BWD,mix,1,2,1,7,2,1.859,50519,7217.0,GNG.OL,1,2,2,"[OL.VLNPL2, PENP.VLNPL2] -> GNG.OLL1 -> [OLL1, OLL2]",OL.VLNP,2,PENP.VLNP,2,OL,1,OL,2
3094941,mixed,BWD->mix,BWD,mix,1,2,1,187,10,5.493,71307,381.321,OL.VMNP,2,2,2,"[VLNPL3, VLNP.VMNPL3] -> OL.VMNPL2 -> [OLL2, OLL3]",VLNP,3,VLNP.VMNP,3,OL,2,OL,3
3094776,mixed,BWD->mix,BWD,mix,1,2,1,26,3,1.975,50131,1928.115,OL.VMNP,1,2,2,"[GNG.VMNPL2, LX.VMNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG.VMNP,2,LX.VMNP,2,OL,1,OL,2
3093936,mixed,BWD->mix,BWD,mix,1,2,1,26,3,1.974,50060,1925.385,OL.VMNP,1,2,2,"[GNG.LXL2, GNG.VMNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG.LX,2,GNG.VMNP,2,OL,1,OL,2
3093096,mixed,BWD->mix,BWD,mix,1,2,1,26,2,1.973,50133,1928.192,OL.VMNP,1,2,2,"[GNG.VMNPL2, PENP.VLNPL2] -> OL.VMNPL1 -> [OLL1, OLL2]",GNG.VMNP,2,PENP.VLNP,2,OL,1,OL,2
3047836,mixed,BWD->mix,BWD,mix,1,2,1,214,61,11.837,4292,20.056,AL.LH,2,2,2,"[ALL3, LHL3] -> AL.LHL2 -> [ALL2, MBL3]",AL,3,LH,3,AL,2,MB,3
3026028,mixed,BWD->mix,BWD,mix,0,3,1,38835,25,1.539,42991,1.107,OL,2,2,2,"[OLL3, OL.VMNPL3] -> OLL2 -> [OLL1, OL.VMNPL2]",OL,3,OL.VMNP,3,OL,1,OL.VMNP,2
3025781,mixed,BWD->mix,BWD,mix,0,3,1,187,4,2.49,51627,276.08,OL.VMNP,2,2,2,"[LX.VLNPL3, OL.VLNPL3] -> OL.VMNPL2 -> [OLL1, OLL2]",LX.VLNP,3,OL.VLNP,3,OL,1,OL,2
3017943,mixed,BWD->mix,BWD,mix,0,3,1,187,4,1.664,50284,268.898,OL.VMNP,2,2,2,"[INP.VLNPL3, VLNP.VMNPL3] -> OL.VMNPL2 -> [OLL1, OLL2]",INP.VLNP,3,VLNP.VMNP,3,OL,1,OL,2
3008709,mixed,BWD->mix,BWD,mix,1,2,1,7,4,1.85,50556,7222.286,GNG.OL,1,2,2,"[VLNP.VMNPL2, VMNPL2] -> GNG.OLL1 -> [OLL1, OLL2]",VLNP.VMNP,2,VMNP,2,OL,1,OL,2
2930083,mixed,BWD->mix,BWD,mix,0,3,1,187,4,2.959,50202,268.46,OL.VMNP,2,2,2,"[LX.VLNPL3, VLNP.VMNPL3] -> OL.VMNPL2 -> [OLL1, OLL2]",LX.VLNP,3,VLNP.VMNP,3,OL,1,OL,2
2922964,mixed,BWD->mix,BWD,mix,1,3,0,145,73,7.183,5186,35.766,AL.MB,2,2,2,"[ALL3, LHL3] -> AL.MBL2 -> [ALL1, MBL3]",AL,3,LH,3,AL,1,MB,3
2832714,mixed,BWD->mix,BWD,mix,1,2,1,7,2,1.722,50160,7165.714,GNG.OL,1,2,2,"[GNG.VLNPL2, OL.VMNPL2] -> GNG.OLL1 -> [OLL1, OLL2]",GNG.VLNP,2,OL.VMNP,2,OL,1,OL,2
2799699,mixed,BWD->mix,BWD,mix,1,2,1,7,4,1.953,50188,7169.714,GNG.OL,1,2,2,"[GNG.VMNPL2, VLNP.VMNPL2] -> GNG.OLL1 -> [OLL1, OLL2]",GNG.VMNP,2,VLNP.VMNP,2,OL,1,OL,2
2794208,mixed,BWD->mix,BWD,mix,1,2,1,187,4,2.661,72032,385.198,OL.VMNP,2,2,2,"[GNGL3, VLNPL3] -> OL.VMNPL2 -> [OLL2, OLL3]",GNG,3,VLNP,3,OL,2,OL,3
2788001,mixed,BWD->mix,BWD,mix,1,2,1,491,3,2.015,71175,144.959,OL.VLNP,2,2,2,"[LX.SNPL3, VLNPL3] -> OL.VLNPL2 -> [OLL2, OLL3]",LX.SNP,3,VLNP,3,OL,2,OL,3
2780014,mixed,BWD->mix,BWD,mix,0,3,1,187,2,1.983,51594,275.904,OL.VMNP,2,2,2,"[LXL3, OL.VLNPL3] -> OL.VMNPL2 -> [OLL1, OLL2]",LX,3,OL.VLNP,3,OL,1,OL,2
2778036,mixed,BWD->mix,BWD,mix,1,3,0,187,7,2.662,43937,234.957,OL.VMNP,2,2,2,"[GNGL3, VMNPL3] -> OL.VMNPL2 -> [OLL1, OLL3]",GNG,3,VMNP,3,OL,1,OL,3
2602092,mixed,BWD->mix,BWD,mix,0,3,1,187,3,1.363,51709,276.519,OL.VMNP,2,2,2,"[INP.VLNPL3, OL.VLNPL3] -> OL.VMNPL2 -> [OLL1, OLL2]",INP.VLNP,3,OL.VLNP,3,OL,1,OL,2
2569489,mixed,BWD->mix,BWD,mix,1,2,1,187,7,2.176,70847,378.861,OL.VMNP,2,2,2,"[INP.VMNPL3, VMNPL3] -> OL.VMNPL2 -> [OLL2, OLL3]",INP.VMNP,3,VMNP,3,OL,2,OL,3
2550378,mixed,BWD->mix,BWD,mix,1,2,1,7,2,1.526,50536,7219.429,GNG.OL,1,2,2,"[GNG.PENPL2, OL.VLNPL2] -> GNG.OLL1 -> [OLL1, OLL2]",GNG.PENP,2,OL.VLNP,2,OL,1,OL,2
2490130,mixed,BWD->mix,BWD,mix,1,2,1,491,3,2.737,71341,145.297,OL.VLNP,2,2,2,"[INP.SNPL3, VLNPL3] -> OL.VLNPL2 -> [OLL2, OLL3]",INP.SNP,3,VLNP,3,OL,2,OL,3
2463274,mixed,BWD->mix,BWD,mix,1,2,1,491,2,1.108,72056,146.754,OL.VLNP,2,2,2,"[OL.VLNPL3, PENP.VLNPL3] -> OL.VLNPL2 -> [OLL2, OLL3]",OL.VLNP,3,PENP.VLNP,3,OL,2,OL,3
2453148,mixed,BWD->mix,BWD,mix,1,2,1,7,2,1.988,50049,7149.857,GNG.OL,1,2,2,"[GNG.VLNPL2, PENP.VLNPL2] -> GNG.OLL1 -> [OLL1, OLL2]",GNG.VLNP,2,PENP.VLNP,2,OL,1,OL,2
2446004,mixed,BWD->mix,BWD,mix,1,3,0,38835,65,5.828,44371,1.143,OL,2,2,2,"[OLL3, OL.VLNPL3] -> OLL2 -> [OLL1, OL.VMNPL3]",OL,3,OL.VLNP,3,OL,1,OL.VMNP,3
