motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
260,mixed,mix->LAT,mix,LAT,0,1,3,1802,2,1.724,920,0.511,AL,1,2,2,"[ALL2, AL.PENPL1] -> ALL1 -> [AL.LHL1, AL.VLNPL1]",AL,2,AL.PENP,1,AL.LH,1,AL.VLNP,1
181,mixed,mix->LAT,mix,LAT,0,1,3,1802,2,2.0,920,0.511,AL,1,2,2,"[ALL2, AL.GNGL1] -> ALL1 -> [AL.INPL1, AL.VLNPL1]",AL,2,AL.GNG,1,AL.INP,1,AL.VLNP,1
181,mixed,mix->LAT,mix,LAT,0,1,3,1802,2,2.0,919,0.51,AL,1,2,2,"[ALL2, AL.LHL1] -> ALL1 -> [AL.INPL1, AL.VLNPL1]",AL,2,AL.LH,1,AL.INP,1,AL.VLNP,1
181,mixed,mix->LAT,mix,LAT,0,1,3,1802,2,2.0,919,0.51,AL,1,2,2,"[ALL2, AL.SNPL1] -> ALL1 -> [AL.INPL1, AL.VLNPL1]",AL,2,AL.SNP,1,AL.INP,1,AL.VLNP,1
160,mixed,mix->LAT,mix,LAT,0,1,3,1802,3,1.436,155,0.086,AL,1,2,2,"[AL.GNGL1, AL.MBL2] -> ALL1 -> [AL.INPL1, AL.LHL1]",AL.GNG,1,AL.MB,2,AL.INP,1,AL.LH,1
149,mixed,mix->LAT,mix,LAT,0,1,3,1802,2,1.906,917,0.509,AL,1,2,2,"[ALL2, AL.SNPL1] -> ALL1 -> [AL.INPL1, AL.LHL1]",AL,2,AL.SNP,1,AL.INP,1,AL.LH,1
5468,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,3,1.779,1059,0.588,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.INPL1, AL.LHL1]",AL,2,AL.MB,2,AL.INP,1,AL.LH,1
4086,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,3,2.16,1130,0.627,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.INPL1, AL.VLNPL1]",AL,2,AL.LH,2,AL.INP,1,AL.VLNP,1
3828,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,1,1.0,1059,0.588,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.INPL1, AL.SNPL1]",AL,2,AL.MB,2,AL.INP,1,AL.SNP,1
3828,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,1,1.0,1059,0.588,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.LHL1, AL.SNPL1]",AL,2,AL.MB,2,AL.LH,1,AL.SNP,1
3808,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,2,1.958,1128,0.626,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.INPL1, AL.LHL1]",AL,2,AL.LH,2,AL.INP,1,AL.LH,1
3346,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,2,1.967,1061,0.589,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.INPL1, AL.VLNPL1]",AL,2,AL.MB,2,AL.INP,1,AL.VLNP,1
2643,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,3,1.424,1130,0.627,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.LHL1, AL.VLNPL1]",AL,2,AL.LH,2,AL.LH,1,AL.VLNP,1
2232,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,2,1.398,365,0.203,AL,1,2,2,"[AL.LHL2, AL.MBL2] -> ALL1 -> [AL.INPL1, AL.LHL1]",AL.LH,2,AL.MB,2,AL.INP,1,AL.LH,1
1848,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,1,1.0,365,0.203,AL,1,2,2,"[AL.LHL2, AL.MBL2] -> ALL1 -> [AL.INPL1, AL.SNPL1]",AL.LH,2,AL.MB,2,AL.INP,1,AL.SNP,1
1848,mixed,BWD->LAT,BWD,LAT,0,2,2,1802,1,1.0,365,0.203,AL,1,2,2,"[AL.LHL2, AL.MBL2] -> ALL1 -> [AL.LHL1, AL.SNPL1]",AL.LH,2,AL.MB,2,AL.LH,1,AL.SNP,1
544315,mixed,BWD->mix,BWD,mix,1,2,1,1802,12,5.443,1270,0.705,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.INPL1, AL.MBL2]",AL,2,AL.LH,2,AL.INP,1,AL.MB,2
395632,mixed,BWD->mix,BWD,mix,1,2,1,1802,11,3.318,1270,0.705,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.INPL1, AL.LHL2]",AL,2,AL.MB,2,AL.INP,1,AL.LH,2
337831,mixed,BWD->mix,BWD,mix,1,2,1,1802,12,3.606,1272,0.706,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.MBL2, AL.VLNPL1]",AL,2,AL.LH,2,AL.MB,2,AL.VLNP,1
295721,mixed,BWD->mix,BWD,mix,1,2,1,1802,10,4.419,1270,0.705,AL,1,2,2,"[AL.LHL2, AL.MBL2] -> ALL1 -> [ALL2, AL.INPL1]",AL.LH,2,AL.MB,2,AL,2,AL.INP,1
244422,mixed,BWD->mix,BWD,mix,1,2,1,1802,5,2.01,1270,0.705,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.LHL1, AL.MBL2]",AL,2,AL.LH,2,AL.LH,1,AL.MB,2
232998,mixed,BWD->mix,BWD,mix,1,2,1,1802,4,1.383,1270,0.705,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.LHL1, AL.LHL2]",AL,2,AL.MB,2,AL.LH,1,AL.LH,2
197334,mixed,BWD->mix,BWD,mix,1,2,1,1802,3,1.022,1270,0.705,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.LHL2, AL.SNPL1]",AL,2,AL.MB,2,AL.LH,2,AL.SNP,1
189908,mixed,BWD->mix,BWD,mix,1,2,1,1802,4,1.324,1271,0.705,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.GNGL1, AL.LHL2]",AL,2,AL.MB,2,AL.GNG,1,AL.LH,2
187288,mixed,BWD->mix,BWD,mix,1,2,1,1802,16,4.098,1272,0.706,AL,1,2,2,"[AL.LHL2, AL.MBL2] -> ALL1 -> [ALL2, AL.VLNPL1]",AL.LH,2,AL.MB,2,AL,2,AL.VLNP,1
172562,mixed,BWD->mix,BWD,mix,1,2,1,1802,17,4.106,1272,0.706,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.LHL2, AL.VLNPL1]",AL,2,AL.MB,2,AL.LH,2,AL.VLNP,1
2868608,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,34,4.356,1309,0.726,AL,1,2,2,"[ALL2, AL.VLNPL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.VLNP,2,AL.LH,2,AL.MB,2
2827241,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,55,6.139,1309,0.726,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.MBL2, AL.VLNPL2]",AL,2,AL.LH,2,AL.MB,2,AL.VLNP,2
