waist,n_pattern,massa,massa_max
INP.SNPL1,50,1388.0,112.0
INP.LHL1,34,676.0,48.0
CX.SNPL3,18,477.0,78.0
AL.MBL3,6,392.0,112.0
LH.PENPL1,24,358.0,40.0
PENP.SNPL1,12,252.0,36.0
INP.OLL1,3,225.0,90.0
GNG.INPL1,18,216.0,12.0
INP.VLNPL1,5,111.0,44.0
LH.VMNPL3,6,108.0,18.0
LH.OLL2,4,47.0,15.0
MB.OLL2,2,40.0,20.0
CX.LXL1,1,35.0,35.0
