livello_fan_in,livello_waist,livello_fan_out,massa
2,3,2,86962436544.0
3,3,2,68464763082.0
2,3,3,67863461466.0
3,3,3,31143546388.0
2,2,3,19236159246.0
2,2,2,18211327181.0
1,2,3,16014487339.0
1,2,2,14056485333.0
3,2,2,11292863780.0
2,2,1,9626465459.0
3,2,3,8659455913.0
3,2,1,5977925413.0
1,2,1,5027763892.0
2,1,2,3261330956.0
2,1,1,2875782064.0
1,1,2,2182139630.0
1,1,1,1973389458.0
