motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
23134080,mixed,mix->BWD,mix,BWD,1,2,1,2764,2,1.089,3154,1.141,MB,3,2,2,"[ALL2, INP.VLNPL3] -> MBL3 -> [AL.MBL2, MBL2]",AL,2,INP.VLNP,3,AL.MB,2,MB,2
23121350,mixed,mix->FWD,mix,FWD,3,0,1,145,39,7.521,5364,36.993,AL.MB,2,2,2,"[ALL1, AL.LHL2] -> AL.MBL2 -> [LHL3, MBL3]",AL,1,AL.LH,2,LH,3,MB,3
23045280,mixed,LAT->BWD,LAT,BWD,0,2,2,2764,2,1.251,3084,1.116,MB,3,2,2,"[INP.MBL3, MB.VLNPL3] -> MBL3 -> [ALL2, MBL2]",INP.MB,3,MB.VLNP,3,AL,2,MB,2
22845480,mixed,LAT->BWD,LAT,BWD,0,2,2,2764,2,1.983,2200,0.796,MB,3,2,2,"[INP.MBL3, MB.SNPL3] -> MBL3 -> [MBL2, MB.VLNPL2]",INP.MB,3,MB.SNP,3,MB,2,MB.VLNP,2
22837308,mixed,FWD->BWD,FWD,BWD,2,2,0,2764,2,1.119,2179,0.788,MB,3,2,2,"[INP.MBL2, MBL2] -> MBL3 -> [AL.MBL2, INP.VLNPL2]",INP.MB,2,MB,2,AL.MB,2,INP.VLNP,2
22837308,mixed,FWD->BWD,FWD,BWD,2,2,0,2764,2,1.119,2179,0.788,MB,3,2,2,"[INP.VLNPL2, MBL2] -> MBL3 -> [AL.MBL2, INP.MBL2]",INP.VLNP,2,MB,2,AL.MB,2,INP.MB,2
22833140,mixed,mix->mix,mix,mix,1,1,2,2764,4,1.872,2818,1.02,MB,3,2,2,"[LHL3, MBL2] -> MBL3 -> [AL.MBL2, INP.MBL3]",LH,3,MB,2,AL.MB,2,INP.MB,3
22831772,mixed,FWD->mix,FWD,mix,2,1,1,2764,2,1.872,2314,0.837,MB,3,2,2,"[LH.SNPL2, MBL2] -> MBL3 -> [AL.MBL2, INP.MBL3]",LH.SNP,2,MB,2,AL.MB,2,INP.MB,3
22815416,mixed,FWD->BWD,FWD,BWD,2,2,0,2764,2,1.119,2179,0.788,MB,3,2,2,"[INP.MBL2, INP.VLNPL2] -> MBL3 -> [AL.MBL2, MBL2]",INP.MB,2,INP.VLNP,2,AL.MB,2,MB,2
22800162,mixed,FWD->mix,FWD,mix,2,1,1,2764,2,1.769,2264,0.819,MB,3,2,2,"[MBL2, MB.VLNPL2] -> MBL3 -> [AL.MBL2, INP.VLNPL3]",MB,2,MB.VLNP,2,AL.MB,2,INP.VLNP,3
22758728,mixed,LAT->mix,LAT,mix,0,1,3,187,10,3.514,50835,271.845,OL.VMNP,2,2,2,"[GNGL2, LX.VMNPL2] -> OL.VMNPL2 -> [OLL1, OLL2]",GNG,2,LX.VMNP,2,OL,1,OL,2
22691736,mixed,FWD->mix,FWD,mix,2,1,1,2764,2,1.065,2343,0.848,MB,3,2,2,"[INP.VLNPL2, MBL2] -> MBL3 -> [AL.LHL2, INP.MBL3]",INP.VLNP,2,MB,2,AL.LH,2,INP.MB,3
22673214,mixed,mix->mix,mix,mix,2,0,2,214,69,12.669,4799,22.425,AL.LH,2,2,2,"[ALL1, ALL2] -> AL.LHL2 -> [INP.MBL3, MBL2]",AL,1,AL,2,INP.MB,3,MB,2
22608180,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.663,2241,0.811,MB,3,2,2,"[MB.SNPL2, MB.SNPL3] -> MBL3 -> [INP.VLNPL3, MBL2]",MB.SNP,2,MB.SNP,3,INP.VLNP,3,MB,2
22600605,mixed,mix->LAT,mix,LAT,1,1,2,214,70,11.719,4657,21.762,AL.LH,2,2,2,"[ALL1, ALL3] -> AL.LHL2 -> [ALL2, MBL2]",AL,1,AL,3,AL,2,MB,2
22600374,mixed,mix->mix,mix,mix,0,2,2,187,4,1.659,50615,270.668,OL.VMNP,2,2,2,"[INP.VLNPL3, VMNPL2] -> OL.VMNPL2 -> [OLL1, OLL2]",INP.VLNP,3,VMNP,2,OL,1,OL,2
22598688,mixed,FWD->BWD,FWD,BWD,2,2,0,2764,2,1.645,2288,0.828,MB,3,2,2,"[AL.LHL2, AL.MBL2] -> MBL3 -> [MBL2, MB.VLNPL2]",AL.LH,2,AL.MB,2,MB,2,MB.VLNP,2
22573214,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.987,2200,0.796,MB,3,2,2,"[MBL2, MB.SNPL3] -> MBL3 -> [INP.MBL3, MB.VLNPL2]",MB,2,MB.SNP,3,INP.MB,3,MB.VLNP,2
22558552,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.257,3084,1.116,MB,3,2,2,"[MBL2, MB.VLNPL3] -> MBL3 -> [ALL2, INP.MBL3]",MB,2,MB.VLNP,3,AL,2,INP.MB,3
22533168,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.987,2200,0.796,MB,3,2,2,"[MB.SNPL3, MB.VLNPL2] -> MBL3 -> [INP.MBL3, MBL2]",MB.SNP,3,MB.VLNP,2,INP.MB,3,MB,2
22514905,mixed,mix->FWD,mix,FWD,3,0,1,145,59,12.168,5516,38.041,AL.MB,2,2,2,"[ALL1, ALL2] -> AL.MBL2 -> [LH.VLNPL3, MBL3]",AL,1,AL,2,LH.VLNP,3,MB,3
22501720,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.258,3084,1.116,MB,3,2,2,"[INP.MBL3, MBL2] -> MBL3 -> [ALL2, MB.VLNPL3]",INP.MB,3,MB,2,AL,2,MB.VLNP,3
