motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
480,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,820,820.0,LH.VMNP,1,2,2,"[AL.LHL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [GNG.LXL1, VMNPL2]",AL.LH,2,VLNP.VMNP,2,GNG.LX,1,VMNP,2
480,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,849,849.0,LH.VMNP,1,2,2,"[AL.LHL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [GNG.VMNPL1, VMNPL2]",AL.LH,2,VLNP.VMNP,2,GNG.VMNP,1,VMNP,2
480,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,821,821.0,LH.VMNP,1,2,2,"[AL.LHL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [INP.LHL1, VMNPL2]",AL.LH,2,VLNP.VMNP,2,INP.LH,1,VMNP,2
480,mixed,BWD->FWD,BWD,FWD,2,2,0,1,1,1.0,1190,1190.0,LH.VMNP,1,2,2,"[AL.LHL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [SNPL2, VMNPL2]",AL.LH,2,VLNP.VMNP,2,SNP,2,VMNP,2
480,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,932,932.0,LH.VMNP,1,2,2,"[AL.LHL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [VMNPL1, VMNPL2]",AL.LH,2,VLNP.VMNP,2,VMNP,1,VMNP,2
360,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,966,966.0,LH.VMNP,1,2,2,"[VLNPL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [GNG.LXL1, VMNPL2]",VLNP,2,VLNP.VMNP,2,GNG.LX,1,VMNP,2
360,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,995,995.0,LH.VMNP,1,2,2,"[VLNPL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [GNG.VMNPL1, VMNPL2]",VLNP,2,VLNP.VMNP,2,GNG.VMNP,1,VMNP,2
360,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,967,967.0,LH.VMNP,1,2,2,"[VLNPL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [INP.LHL1, VMNPL2]",VLNP,2,VLNP.VMNP,2,INP.LH,1,VMNP,2
360,mixed,BWD->FWD,BWD,FWD,2,2,0,1,1,1.0,1336,1336.0,LH.VMNP,1,2,2,"[VLNPL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [SNPL2, VMNPL2]",VLNP,2,VLNP.VMNP,2,SNP,2,VMNP,2
360,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,1078,1078.0,LH.VMNP,1,2,2,"[VLNPL2, VLNP.VMNPL2] -> LH.VMNPL1 -> [VMNPL1, VMNPL2]",VLNP,2,VLNP.VMNP,2,VMNP,1,VMNP,2
240,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,731,731.0,LH.VMNP,1,2,2,"[AL.LHL2, AL.VLNPL2] -> LH.VMNPL1 -> [GNG.LXL1, VMNPL2]",AL.LH,2,AL.VLNP,2,GNG.LX,1,VMNP,2
240,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,760,760.0,LH.VMNP,1,2,2,"[AL.LHL2, AL.VLNPL2] -> LH.VMNPL1 -> [GNG.VMNPL1, VMNPL2]",AL.LH,2,AL.VLNP,2,GNG.VMNP,1,VMNP,2
240,mixed,BWD->mix,BWD,mix,1,2,1,1,1,1.0,732,732.0,LH.VMNP,1,2,2,"[AL.LHL2, AL.VLNPL2] -> LH.VMNPL1 -> [INP.LHL1, VMNPL2]",AL.LH,2,AL.VLNP,2,INP.LH,1,VMNP,2
240,mixed,BWD->FWD,BWD,FWD,2,2,0,1,1,1.0,1101,1101.0,LH.VMNP,1,2,2,"[AL.LHL2, AL.VLNPL2] -> LH.VMNPL1 -> [SNPL2, VMNPL2]",AL.LH,2,AL.VLNP,2,SNP,2,VMNP,2
18,mixed,mix->LAT,mix,LAT,1,0,3,2,1,1.0,1848,924.0,LH.VMNP,3,2,2,"[AL.PENPL2, VMNPL3] -> LH.VMNPL3 -> [LH.SNPL3, VLNPL3]",AL.PENP,2,VMNP,3,LH.SNP,3,VLNP,3
18,mixed,mix->LAT,mix,LAT,1,0,3,2,1,1.0,1888,944.0,LH.VMNP,3,2,2,"[AL.VLNPL2, VMNPL3] -> LH.VMNPL3 -> [LH.SNPL3, VLNPL3]",AL.VLNP,2,VMNP,3,LH.SNP,3,VLNP,3
18,mixed,mix->LAT,mix,LAT,1,0,3,2,1,1.0,1939,969.5,LH.VMNP,3,2,2,"[GNG.PENPL2, VMNPL3] -> LH.VMNPL3 -> [LH.SNPL3, VLNPL3]",GNG.PENP,2,VMNP,3,LH.SNP,3,VLNP,3
18,mixed,mix->LAT,mix,LAT,1,0,3,2,1,1.0,1926,963.0,LH.VMNP,3,2,2,"[LH.SNPL2, VMNPL3] -> LH.VMNPL3 -> [LH.SNPL3, VLNPL3]",LH.SNP,2,VMNP,3,LH.SNP,3,VLNP,3
18,mixed,mix->LAT,mix,LAT,1,0,3,2,1,1.0,1977,988.5,LH.VMNP,3,2,2,"[VLNP.VMNPL2, VMNPL3] -> LH.VMNPL3 -> [LH.SNPL3, VLNPL3]",VLNP.VMNP,2,VMNP,3,LH.SNP,3,VLNP,3
18,pure_LAT,LAT->LAT,LAT,LAT,0,0,4,2,1,1.0,1988,994.0,LH.VMNP,3,2,2,"[VLNP.VMNPL3, VMNPL3] -> LH.VMNPL3 -> [LH.SNPL3, VLNPL3]",VLNP.VMNP,3,VMNP,3,LH.SNP,3,VLNP,3
3900,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,554,46.167,LX,1,2,2,"[CX.LXL1, LX.VLNPL2] -> LXL1 -> [LXL2, VLNPL2]",CX.LX,1,LX.VLNP,2,LX,2,VLNP,2
3900,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,39029,3252.417,LX,1,2,2,"[CX.LXL1, OLL2] -> LXL1 -> [LXL2, LX.VLNPL2]",CX.LX,1,OL,2,LX,2,LX.VLNP,2
3900,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,39381,3281.75,LX,1,2,2,"[LX.VLNPL2, OLL2] -> LXL1 -> [LXL2, VLNPL2]",LX.VLNP,2,OL,2,LX,2,VLNP,2
3120,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,554,46.167,LX,1,2,2,"[CX.LXL1, VLNPL2] -> LXL1 -> [LXL2, LX.VLNPL2]",CX.LX,1,VLNP,2,LX,2,LX.VLNP,2
3120,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,39381,3281.75,LX,1,2,2,"[OLL2, VLNPL2] -> LXL1 -> [LXL2, LX.VLNPL2]",OL,2,VLNP,2,LX,2,LX.VLNP,2
