signature,n_pattern,massa
mix->mix,131277894,858036292617.0
mix->lat,61729563,1440732026080.0
lat->mix,46363840,2643160070939.0
mix->FF,33403042,29315100793.0
FF->mix,31695877,92070336903.0
lat->lat,30988295,629877835630.0
FF->lat,21811166,26816894258.0
FB->mix,18376055,22064671702.0
mix->FB,17964893,52210897483.0
FB->FF,8603204,1656845071.0
lat->FB,8232726,9175202380.0
lat->FF,7990079,230591482232.0
FF->FB,7248081,16015446561.0
FB->lat,3900199,127732819493.0
FF->FF,3221157,5848129384.0
FB->FB,740558,1289353179.0
