motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
50405358660,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.328,8835,3.872,LO,3,2,2,"[LO.LOPL4, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL4]",LO.LOP,4,ME.LOP,3,LO.LOP,3,ME.LOP,4
49758783924,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.477,8835,3.872,LO,3,2,2,"[ME.LOPL3, ME.LOPL4] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME.LOP,3,ME.LOP,4,LO.LOP,3,LO.LOP,4
49518048458,mixed,mix->mix,mix,mix,1,1,2,2282,4,1.234,10293,4.511,LO,3,2,2,"[MEL4, ME.LOPL3] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME,4,ME.LOP,3,LO.LOP,3,LO.LOP,4
39344042620,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.041,9856,4.319,LO,3,2,2,"[LO.LOPL4, ME.LOPL3] -> LOL3 -> [LOL4, LO.LOPL3]",LO.LOP,4,ME.LOP,3,LO,4,LO.LOP,3
35329451928,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.104,9856,4.319,LO,3,2,2,"[LOL4, ME.LOPL3] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",LO,4,ME.LOP,3,LO.LOP,3,LO.LOP,4
31086016560,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.285,8835,3.872,LO,3,2,2,"[LO.LOPL3, LO.LOPL4] -> LOL3 -> [ME.LOPL3, ME.LOPL4]",LO.LOP,3,LO.LOP,4,ME.LOP,3,ME.LOP,4
30700093389,mixed,mix->mix,mix,mix,1,1,2,2282,5,1.203,10293,4.511,LO,3,2,2,"[LO.LOPL3, MEL4] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",LO.LOP,3,ME,4,LO.LOP,4,ME.LOP,3
30439648080,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.419,8835,3.872,LO,3,2,2,"[LO.LOPL3, ME.LOPL4] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",LO.LOP,3,ME.LOP,4,LO.LOP,4,ME.LOP,3
24682244520,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.035,9856,4.319,LO,3,2,2,"[LO.LOPL3, LO.LOPL4] -> LOL3 -> [LOL4, ME.LOPL3]",LO.LOP,3,LO.LOP,4,LO,4,ME.LOP,3
22074280560,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.09,9856,4.319,LO,3,2,2,"[LOL4, LO.LOPL3] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",LO,4,LO.LOP,3,LO.LOP,4,ME.LOP,3
20941860320,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.388,15886,6.961,LO,3,2,2,"[LO.LOPL4, MEL3] -> LOL3 -> [LO.LOPL3, ME.LOPL4]",LO.LOP,4,ME,3,LO.LOP,3,ME.LOP,4
20905239304,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.557,15886,6.961,LO,3,2,2,"[MEL3, ME.LOPL4] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME,3,ME.LOP,4,LO.LOP,3,LO.LOP,4
20422075163,mixed,mix->mix,mix,mix,1,1,2,2282,8,1.279,17344,7.6,LO,3,2,2,"[MEL3, MEL4] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME,3,ME,4,LO.LOP,3,LO.LOP,4
18438609360,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.276,15462,6.776,LO,3,2,2,"[LO.LOPL4, MEL3] -> LOL3 -> [ME.LOPL3, ME.LOPL4]",LO.LOP,4,ME,3,ME.LOP,3,ME.LOP,4
18231525591,mixed,mix->mix,mix,mix,1,1,2,2282,7,1.196,16920,7.415,LO,3,2,2,"[MEL3, MEL4] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",ME,3,ME,4,LO.LOP,4,ME.LOP,3
18021712560,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.405,15462,6.776,LO,3,2,2,"[MEL3, ME.LOPL4] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",ME,3,ME.LOP,4,LO.LOP,4,ME.LOP,3
