motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
249,mixed,mix->mix,mix,mix,2,2,0,9,5,4.314,124,13.778,AL,4,2,2,"[ALL3, ALL5] -> ALL4 -> [AL.LHL3, AL.LHL5]",AL,3,AL,5,AL.LH,3,AL.LH,5
90,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,51,5.667,AL,4,2,2,"[ALL5, FB.LOL5] -> ALL4 -> [ALL3, AL.LHL5]",AL,5,FB.LO,5,AL,3,AL.LH,5
90,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,51,5.667,AL,4,2,2,"[ALL5, SCL.WEDL5] -> ALL4 -> [ALL3, AL.LHL5]",AL,5,SCL.WED,5,AL,3,AL.LH,5
63,mixed,mix->FF,mix,FF,3,1,0,9,1,1.0,52,5.778,AL,4,2,2,"[ALL3, ALL5] -> ALL4 -> [AL.LALL5, AL.LHL5]",AL,3,AL,5,AL.LAL,5,AL.LH,5
63,mixed,mix->FF,mix,FF,3,1,0,9,1,1.0,51,5.667,AL,4,2,2,"[ALL3, ALL5] -> ALL4 -> [AL.LHL5, FB.LOL5]",AL,3,AL,5,AL.LH,5,FB.LO,5
63,mixed,mix->FF,mix,FF,3,1,0,9,1,1.0,54,6.0,AL,4,2,2,"[ALL3, ALL5] -> ALL4 -> [AL.LHL5, PLP.GNGL5]",AL,3,AL,5,AL.LH,5,PLP.GNG,5
63,mixed,mix->FF,mix,FF,3,1,0,9,1,1.0,51,5.667,AL,4,2,2,"[ALL3, FB.LOL5] -> ALL4 -> [ALL5, AL.LHL5]",AL,3,FB.LO,5,AL,5,AL.LH,5
63,mixed,mix->FF,mix,FF,3,1,0,9,1,1.0,51,5.667,AL,4,2,2,"[ALL3, SCL.WEDL5] -> ALL4 -> [ALL5, AL.LHL5]",AL,3,SCL.WED,5,AL,5,AL.LH,5
48,mixed,mix->FB,mix,FB,1,3,0,9,2,1.6,121,13.444,AL,4,2,2,"[ALL3, ALL5] -> ALL4 -> [AL.LHL3, AL.SMPL3]",AL,3,AL,5,AL.LH,3,AL.SMP,3
30,mixed,mix->mix,mix,mix,2,2,0,9,2,1.923,54,6.0,AL,4,2,2,"[ALL3, ALL5] -> ALL4 -> [AL.LHL5, AL.SMPL3]",AL,3,AL,5,AL.LH,5,AL.SMP,3
30,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,46,5.111,AL,4,2,2,"[ALL5, FB.LOL5] -> ALL4 -> [ALL3, AL.LALL5]",AL,5,FB.LO,5,AL,3,AL.LAL,5
30,pure_FB,FB->FB,FB,FB,0,4,0,9,1,1.0,118,13.111,AL,4,2,2,"[ALL5, FB.LOL5] -> ALL4 -> [ALL3, AL.LHL3]",AL,5,FB.LO,5,AL,3,AL.LH,3
30,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,48,5.333,AL,4,2,2,"[ALL5, FB.LOL5] -> ALL4 -> [ALL3, PLP.GNGL5]",AL,5,FB.LO,5,AL,3,PLP.GNG,5
30,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,46,5.111,AL,4,2,2,"[ALL5, SCL.WEDL5] -> ALL4 -> [ALL3, AL.LALL5]",AL,5,SCL.WED,5,AL,3,AL.LAL,5
30,pure_FB,FB->FB,FB,FB,0,4,0,9,1,1.0,118,13.111,AL,4,2,2,"[ALL5, SCL.WEDL5] -> ALL4 -> [ALL3, AL.LHL3]",AL,5,SCL.WED,5,AL,3,AL.LH,3
30,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,45,5.0,AL,4,2,2,"[ALL5, SCL.WEDL5] -> ALL4 -> [ALL3, FB.LOL5]",AL,5,SCL.WED,5,AL,3,FB.LO,5
30,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,48,5.333,AL,4,2,2,"[ALL5, SCL.WEDL5] -> ALL4 -> [ALL3, PLP.GNGL5]",AL,5,SCL.WED,5,AL,3,PLP.GNG,5
30,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,45,5.0,AL,4,2,2,"[FB.LOL5, SCL.WEDL5] -> ALL4 -> [ALL3, ALL5]",FB.LO,5,SCL.WED,5,AL,3,AL,5
30,mixed,FB->mix,FB,mix,1,3,0,9,1,1.0,45,5.0,AL,4,2,2,"[FB.LOL5, SCL.WEDL5] -> ALL4 -> [ALL3, AL.LHL5]",FB.LO,5,SCL.WED,5,AL,3,AL.LH,5
27,mixed,mix->mix,mix,mix,2,2,0,9,1,1.0,634,70.444,AL,4,2,2,"[ALL5, LHL3] -> ALL4 -> [ALL3, AL.LHL5]",AL,5,LH,3,AL,3,AL.LH,5
120,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,824,824.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [IPSL4, PLPL4]",IPS,3,PLP,3,IPS,4,PLP,4
120,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,1217,1217.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [IPSL4, PLPL4]",LH,3,PLP,3,IPS,4,PLP,4
72,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,599,599.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [IPSL4, IPS.AOTUL4]",IPS,3,PLP,3,IPS,4,IPS.AOTU,4
72,mixed,lat->mix,lat,mix,1,0,3,1,1,1.0,627,627.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [IPSL4, PLP.LALL3]",IPS,3,PLP,3,IPS,4,PLP.LAL,3
72,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,603,603.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [IPSL4, WED.AOTUL4]",IPS,3,PLP,3,IPS,4,WED.AOTU,4
72,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,626,626.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [IPSL4, WED.AVLPL4]",IPS,3,PLP,3,IPS,4,WED.AVLP,4
72,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,992,992.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [IPSL4, IPS.AOTUL4]",LH,3,PLP,3,IPS,4,IPS.AOTU,4
72,mixed,lat->mix,lat,mix,1,0,3,1,1,1.0,1020,1020.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [IPSL4, PLP.LALL3]",LH,3,PLP,3,IPS,4,PLP.LAL,3
72,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,996,996.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [IPSL4, WED.AOTUL4]",LH,3,PLP,3,IPS,4,WED.AOTU,4
72,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,1019,1019.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [IPSL4, WED.AVLPL4]",LH,3,PLP,3,IPS,4,WED.AVLP,4
60,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,664,664.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [IPS.AOTUL4, PLPL4]",IPS,3,PLP,3,IPS.AOTU,4,PLP,4
60,mixed,lat->mix,lat,mix,1,0,3,1,1,1.0,692,692.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [PLPL4, PLP.LALL3]",IPS,3,PLP,3,PLP,4,PLP.LAL,3
60,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,668,668.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [PLPL4, WED.AOTUL4]",IPS,3,PLP,3,PLP,4,WED.AOTU,4
60,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,691,691.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [PLPL4, WED.AVLPL4]",IPS,3,PLP,3,PLP,4,WED.AVLP,4
60,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,1057,1057.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [IPS.AOTUL4, PLPL4]",LH,3,PLP,3,IPS.AOTU,4,PLP,4
60,mixed,lat->mix,lat,mix,1,0,3,1,1,1.0,1085,1085.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [PLPL4, PLP.LALL3]",LH,3,PLP,3,PLP,4,PLP.LAL,3
60,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,1061,1061.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [PLPL4, WED.AOTUL4]",LH,3,PLP,3,PLP,4,WED.AOTU,4
60,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,1084,1084.0,AL.IPS,3,2,2,"[LHL3, PLPL3] -> AL.IPSL3 -> [PLPL4, WED.AVLPL4]",LH,3,PLP,3,PLP,4,WED.AVLP,4
48,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,1387,1387.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [AVLPL4, IPSL4]",IPS,3,PLP,3,AVLP,4,IPS,4
48,mixed,lat->FF,lat,FF,2,0,2,1,1,1.0,610,610.0,AL.IPS,3,2,2,"[IPSL3, PLPL3] -> AL.IPSL3 -> [IPSL4, IPS.LALL4]",IPS,3,PLP,3,IPS,4,IPS.LAL,4
320,mixed,lat->mix,lat,mix,0,1,3,2,2,2.0,345,172.5,AL.LAL,5,2,2,"[AL.LHL5, SMP.LALL5] -> AL.LALL5 -> [LALL4, LALL5]",AL.LH,5,SMP.LAL,5,LAL,4,LAL,5
320,mixed,mix->mix,mix,mix,1,1,2,2,2,2.0,437,218.5,AL.LAL,5,2,2,"[SMP.CREL4, SMP.LALL5] -> AL.LALL5 -> [LALL4, LALL5]",SMP.CRE,4,SMP.LAL,5,LAL,4,LAL,5
320,mixed,mix->mix,mix,mix,1,1,2,2,2,2.0,383,191.5,AL.LAL,5,2,2,"[SMP.LALL5, VESL4] -> AL.LALL5 -> [LALL4, LALL5]",SMP.LAL,5,VES,4,LAL,4,LAL,5
288,mixed,mix->lat,mix,lat,1,0,3,2,2,1.8,382,191.0,AL.LAL,5,2,2,"[LALL4, SMP.LALL5] -> AL.LALL5 -> [LALL5, SMP.CREL5]",LAL,4,SMP.LAL,5,LAL,5,SMP.CRE,5
256,mixed,mix->lat,mix,lat,1,0,3,2,2,1.6,2226,1113.0,AL.LAL,5,2,2,"[LALL4, SMP.LALL5] -> AL.LALL5 -> [GNGL5, LALL5]",LAL,4,SMP.LAL,5,GNG,5,LAL,5
256,mixed,mix->mix,mix,mix,1,1,2,2,2,1.6,1277,638.5,AL.LAL,5,2,2,"[LALL4, SMP.LALL5] -> AL.LALL5 -> [LALL5, SMPL4]",LAL,4,SMP.LAL,5,LAL,5,SMP,4
256,mixed,mix->lat,mix,lat,1,0,3,2,2,1.6,425,212.5,AL.LAL,5,2,2,"[LALL4, SMP.LALL5] -> AL.LALL5 -> [LALL5, VESL5]",LAL,4,SMP.LAL,5,LAL,5,VES,5
192,pure_lateral,lat->lat,lat,lat,0,0,4,2,2,2.0,287,143.5,AL.LAL,5,2,2,"[AL.LHL5, SMP.LALL5] -> AL.LALL5 -> [LALL5, SMP.CREL5]",AL.LH,5,SMP.LAL,5,LAL,5,SMP.CRE,5
192,mixed,mix->lat,mix,lat,1,0,3,2,2,1.8,352,176.0,AL.LAL,5,2,2,"[LALL4, SMP.LALL5] -> AL.LALL5 -> [LALL5, LAL.CREL5]",LAL,4,SMP.LAL,5,LAL,5,LAL.CRE,5
192,mixed,mix->lat,mix,lat,1,0,3,2,2,2.0,379,189.5,AL.LAL,5,2,2,"[SMP.CREL4, SMP.LALL5] -> AL.LALL5 -> [LALL5, SMP.CREL5]",SMP.CRE,4,SMP.LAL,5,LAL,5,SMP.CRE,5
192,mixed,mix->lat,mix,lat,1,0,3,2,2,2.0,325,162.5,AL.LAL,5,2,2,"[SMP.LALL5, VESL4] -> AL.LALL5 -> [LALL5, SMP.CREL5]",SMP.LAL,5,VES,4,LAL,5,SMP.CRE,5
