motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
918103777554,mixed,lat->mix,lat,mix,1,0,3,2282,4,1.588,19405,8.504,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME,3,ME.LOP,3,LO.LOP,3,LO.LOP,4
575181351400,mixed,mix->lat,mix,lat,0,1,3,2282,2,1.57,19405,8.504,LO,3,2,2,"[LO.LOPL4, MEL3] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.LOP,4,ME,3,LO.LOP,3,ME.LOP,3
558288785643,mixed,lat->mix,lat,mix,1,0,3,2282,5,1.521,19405,8.504,LO,3,2,2,"[LO.LOPL3, MEL3] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",LO.LOP,3,ME,3,LO.LOP,4,ME.LOP,3
182529377214,pure_lateral,lat->lat,lat,lat,0,0,4,2282,24,1.515,27313,11.969,LO,3,2,2,"[MEL3, ME.LOL3] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,3,ME.LO,3,LO.LOP,3,ME.LOP,3
172294874606,mixed,lat->mix,lat,mix,1,0,3,2282,4,1.129,17560,7.695,LO,3,2,2,"[ME.LOL3, ME.LOPL3] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME.LO,3,ME.LOP,3,LO.LOP,3,LO.LOP,4
119593728754,pure_lateral,lat->lat,lat,lat,0,0,4,2282,11,1.506,27313,11.969,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOL3]",ME,3,ME.LOP,3,LO.LOP,3,ME.LO,3
108704253400,mixed,mix->lat,mix,lat,0,1,3,2282,2,1.125,17560,7.695,LO,3,2,2,"[LO.LOPL4, ME.LOL3] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.LOP,4,ME.LO,3,LO.LOP,3,ME.LOP,3
107483752239,mixed,lat->mix,lat,mix,1,0,3,2282,5,1.112,17560,7.695,LO,3,2,2,"[LO.LOPL3, ME.LOL3] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",LO.LOP,3,ME.LO,3,LO.LOP,4,ME.LOP,3
105292258584,mixed,lat->mix,lat,mix,1,0,3,2282,2,1.959,18588,8.145,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL4]",ME,3,ME.LOP,3,LO.LOP,3,ME.LOP,4
87188958040,mixed,mix->lat,mix,lat,0,1,3,2282,2,1.084,19405,8.504,LO,3,2,2,"[LO.LOPL4, ME.LOPL3] -> LOL3 -> [LO.LOPL3, MEL3]",LO.LOP,4,ME.LOP,3,LO.LOP,3,ME,3
86371117420,mixed,lat->mix,lat,mix,1,0,3,2282,3,1.076,19405,8.504,LO,3,2,2,"[LO.LOPL3, ME.LOPL3] -> LOL3 -> [LO.LOPL4, MEL3]",LO.LOP,3,ME.LOP,3,LO.LOP,4,ME,3
73045954916,pure_lateral,lat->lat,lat,lat,0,0,4,2282,5,1.445,27313,11.969,LO,3,2,2,"[LO.LOPL3, MEL3] -> LOL3 -> [ME.LOL3, ME.LOPL3]",LO.LOP,3,ME,3,ME.LO,3,ME.LOP,3
73017617360,mixed,mix->lat,mix,lat,0,1,3,2282,2,1.997,18588,8.145,LO,3,2,2,"[MEL3, ME.LOPL4] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,3,ME.LOP,4,LO.LOP,3,ME.LOP,3
71440612280,mixed,mix->lat,mix,lat,0,1,3,2282,2,1.122,17560,7.695,LO,3,2,2,"[LO.LOPL4, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOL3]",LO.LOP,4,ME.LOP,3,LO.LOP,3,ME.LO,3
70646190160,mixed,lat->mix,lat,mix,1,0,3,2282,3,1.11,17560,7.695,LO,3,2,2,"[LO.LOPL3, ME.LOPL3] -> LOL3 -> [LO.LOPL4, ME.LOL3]",LO.LOP,3,ME.LOP,3,LO.LOP,4,ME.LO,3
70434443688,mixed,lat->mix,lat,mix,1,0,3,2282,11,1.155,24611,10.785,LO,3,2,2,"[MEL3, ME.LOL3] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME,3,ME.LO,3,LO.LOP,3,LO.LOP,4
63919665528,mixed,lat->mix,lat,mix,1,0,3,2282,8,1.108,24187,10.599,LO,3,2,2,"[MEL3, ME.LOL3] -> LOL3 -> [LO.LOPL4, ME.LOPL3]",ME,3,ME.LO,3,LO.LOP,4,ME.LOP,3
62385075360,mixed,lat->mix,lat,mix,1,0,3,2282,2,1.912,18588,8.145,LO,3,2,2,"[LO.LOPL3, MEL3] -> LOL3 -> [ME.LOPL3, ME.LOPL4]",LO.LOP,3,ME,3,ME.LOP,3,ME.LOP,4
58906281818,mixed,mix->lat,mix,lat,0,1,3,2282,17,1.806,20046,8.784,LO,3,2,2,"[MEL3, MEL4] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,3,ME,4,LO.LOP,3,ME.LOP,3
58731408055,mixed,lat->mix,lat,mix,1,0,3,2282,8,1.179,19609,8.593,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [LOL4, LO.LOPL3]",ME,3,ME.LOP,3,LO,4,LO.LOP,3
54543987840,mixed,mix->lat,mix,lat,0,1,3,2282,2,1.073,19405,8.504,LO,3,2,2,"[LO.LOPL3, LO.LOPL4] -> LOL3 -> [MEL3, ME.LOPL3]",LO.LOP,3,LO.LOP,4,ME,3,ME.LOP,3
50405358660,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.328,8835,3.872,LO,3,2,2,"[LO.LOPL4, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL4]",LO.LOP,4,ME.LOP,3,LO.LOP,3,ME.LOP,4
49758783924,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.477,8835,3.872,LO,3,2,2,"[ME.LOPL3, ME.LOPL4] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME.LOP,3,ME.LOP,4,LO.LOP,3,LO.LOP,4
49518048458,mixed,mix->mix,mix,mix,1,1,2,2282,4,1.234,10293,4.511,LO,3,2,2,"[MEL4, ME.LOPL3] -> LOL3 -> [LO.LOPL3, LO.LOPL4]",ME,4,ME.LOP,3,LO.LOP,3,LO.LOP,4
