waist,n_pattern,massa,massa_max
SPS.ICLL5,2317919,130478315.0,29785.0
PLPL5,2610850,129727045.0,54180.0
SADL4,1631219,126925644.0,101952.0
AVLP.SMPL5,558341,126366097.0,644862.0
SLPL3,761895,124586354.0,143361.0
ICL.SPSL5,1530960,121873338.0,74646.0
SMP.LALL3,1988642,119463162.0,36460.0
SLP.SMPL3,299969,117014325.0,421074.0
GNGL5,1976936,116860520.0,50154.0
SLP.SMPL5,155987,109311835.0,1385644.0
SPSL3,2435267,106993319.0,13689.0
SCL.ICLL5,1604294,106684543.0,40040.0
LALL4,1821828,103906037.0,30301.0
SPS.IPSL5,815565,101847357.0,80975.0
PLP.SCLL5,1774492,100735569.0,12420.0
AVLPL3,1353553,98685278.0,202074.0
LOP.PLPL2,130955,98625623.0,482448.0
MB_VL.SIPL2,24617,98140381.0,2198376.0
VESL4,2547027,96158936.0,18180.0
CREL5,777727,95950473.0,93052.0
AVLP.SMPL4,839857,94754792.0,576344.0
MB_ML.SIPL2,41654,91763064.0,473280.0
ALL1,10544,91670960.0,5573140.0
SPS.AOTUL5,992571,91466748.0,68447.0
PLP.PVLPL5,323962,88771257.0,774600.0
LH.MB_CAL3,404948,87590724.0,108780.0
PLP.SCLL4,1859000,86098354.0,22464.0
LAL.SMPL5,931283,82619006.0,106085.0
WEDL4,908224,82564300.0,66132.0
PLP.ICLL4,2433289,80273028.0,30673.0
PLP.AVLPL5,365695,78695985.0,392882.0
AVLP.SLPL4,694805,77980025.0,188358.0
LO.PLPL2,239046,75442610.0,102229.0
PLP.LALL3,308690,73128343.0,88560.0
SMP.SPSL4,916306,72881397.0,22292.0
AVLP.SADL4,564713,72703341.0,51372.0
LAL.IPSL4,587403,70620061.0,75240.0
SLP.ICLL5,979246,68773419.0,117608.0
LAL.SPSL5,473716,68160461.0,68041.0
SPS.MEL1,31992,67898044.0,1336176.0
PVLP.SPSL4,1138928,67088374.0,39744.0
GNGL4,452575,66266539.0,120725.0
