signature,n_pattern,massa
mix->mix,43746264,72969246584517.0
mix->lat,12095882,15961103432368.0
lat->mix,11578307,15872302316238.0
mix->FF,10662363,802735457536.0
FF->mix,8970155,20824959192029.0
FB->mix,6430496,386825330678.0
mix->FB,5983612,10998471039689.0
lat->lat,4735960,625292615934.0
FF->lat,3231791,12208947445352.0
lat->FF,2426761,268147580880.0
FB->FF,2339569,116606815127.0
lat->FB,1908068,6085760818145.0
FF->FB,1569849,1130178132598.0
FF->FF,1497789,145191370811.0
FB->lat,1285407,152956868408.0
FB->FB,564102,34800760262.0
