waist,n_pattern,massa,massa_max
LOL3,1397352,148930607175905.0,2803199185270.0
MB_ML.MB_CAL3,17121137,6113659677154.0,48389749920.0
MB_MLL3,10962571,2582719259541.0,9715591440.0
LOPL2,129425,652698337662.0,15098046949.0
LOL4,604786,82920419460.0,3332222276.0
PVLP.LOL4,70883,56894416784.0,8108780883.0
PVLP.LOL3,152597,49349823778.0,5326778464.0
MEL2,320415,43995845243.0,2398629472.0
LOL2,193997,24585106407.0,6622575230.0
PVLPL4,394303,6199637864.0,49470792.0
MEL3,273051,3736744455.0,120795104.0
LOPL3,332388,3070110038.0,38338732.0
MB_ML.CREL3,904716,2848697751.0,20304288.0
AL.MB_CAL2,116637,2208193962.0,90571726.0
IPS.MEL2,52571,2168102132.0,33318758.0
SLP.LHL4,691560,2117651843.0,14488621.0
MB_MLL4,493860,1517198293.0,8928000.0
PLP.AVLPL3,1084251,1370668087.0,23253342.0
PLP.WEDL3,15622508,1180903698.0,16668.0
SLPL4,1028400,1166397215.0,5241556.0
MB_VL.SMPL3,321956,1158947915.0,10180011.0
AVLP.MEL2,155945,978333608.0,9905770.0
LO.AVLPL3,425284,837123156.0,10053426.0
LO.AVLPL4,53424,813236383.0,19181374.0
SMPL3,7991113,809426399.0,396788.0
LOPL4,26720,777487184.0,45575584.0
LOP.PLPL3,337315,678234414.0,3577634.0
AL.LHL2,167532,646359889.0,21094106.0
PLP.LOL4,263212,576698948.0,2348250.0
MB_ML.SLPL3,103563,500454649.0,6676200.0
PVLP.AVLPL3,130645,488539252.0,12137580.0
SPS.MEL2,253187,456344465.0,1945077.0
ME.LOL3,159073,350668203.0,2062721.0
LHL4,365819,345019377.0,3503502.0
MB_PED.CREL2,82942,313688324.0,338052.0
ME.LOPL2,84144,306044061.0,16456294.0
LO.AVLPL2,36303,301019304.0,6396160.0
SLP.PLPL4,3013974,274917668.0,37188.0
MB_ML.CREL2,136551,270479215.0,1485404.0
PLP.LOL2,303716,261480800.0,1072341.0
MB_PED.MB_MLL3,173298,258727877.0,652680.0
PLPL3,3521970,247614420.0,256256.0
LHL3,1662200,246895159.0,288113.0
LO.MEL2,22160,239688342.0,4732880.0
PLPL4,2612408,210932131.0,363962.0
LHL2,958319,190228453.0,412920.0
GNG.ICLL4,2794771,190010258.0,174158.0
LO.PLPL3,401408,187124747.0,400170.0
FLA.SLPL3,1125045,181135724.0,107448.0
MEL4,5492,179127850.0,37600175.0
LOP.IPSL3,80940,164795799.0,1442774.0
MB_CA.CREL4,11865,159102334.0,6064301.0
ME.PVLPL3,83317,158961445.0,792306.0
SPS.LOL2,181401,144223837.0,984036.0
MB_VL.SMPL2,56531,140361230.0,2334996.0
PLP.MB_CAL3,397725,135025530.0,254016.0
SLPL3,761895,124586354.0,143361.0
SMP.LALL3,1988642,119463162.0,36460.0
SMP.SLPL4,668348,117982535.0,107520.0
SLP.SMPL3,299969,117014325.0,421074.0
AVLPL4,1143022,114757244.0,140569.0
SPSL3,2435267,106993319.0,13689.0
ME.LOL2,24864,103720521.0,2929506.0
SLP.SMPL4,255673,100178570.0,4531701.0
MB_ML.SLPL4,9729,100162604.0,1914995.0
AVLPL3,1353553,98685278.0,202074.0
MB_VL.SIPL2,22670,94132436.0,2198376.0
LH.MB_CAL3,404948,87590724.0,108780.0
MB_ML.SIPL2,38865,87265754.0,473280.0
LOP.PLPL2,87478,85954102.0,482448.0
LOP.IPSL4,72217,83180243.0,2100698.0
PLP.MEL2,90789,74043296.0,2165421.0
PLP.LALL3,308690,73128343.0,88560.0
PLP.SPSL4,1017313,71648256.0,24108.0
SMP.CREL4,300781,61992435.0,138863.0
PVLPL3,133500,57451693.0,1621813.0
LO.MEL3,106618,57021023.0,367391.0
SMP.AOTUL3,56337,54672033.0,1467686.0
SADL3,663031,54300751.0,28424.0
SMP.LOL4,54823,53451580.0,567640.0
SIP.SPSL4,934954,51311221.0,19950.0
LO.PLPL2,138443,49984101.0,102229.0
SAD.WEDL3,711103,49830112.0,30005.0
ME.AVLPL3,10576,46054968.0,390208.0
SLP.ICLL3,689484,45259431.0,32688.0
SMPL4,492796,43307774.0,109611.0
SMP.LALL4,480313,41861449.0,74488.0
VES.LOL2,58693,39236240.0,137622.0
SPS.LOL4,206577,37925736.0,124506.0
LO.SPSL3,315392,37183759.0,14678.0
PVLP.AVLPL4,51503,37000212.0,534473.0
PRWL3,157455,35546003.0,48747.0
ME.PLPL2,113389,35177014.0,179791.0
LO.PVLPL4,25830,33479212.0,1533221.0
GNGL3,123847,33066183.0,170091.0
SMP.LOL3,72058,32214546.0,110500.0
LOP.PLPL4,11720,32178711.0,2801521.0
LOP.IPSL2,34814,32084785.0,471896.0
