motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
12,mixed,mix->FB,mix,FB,1,2,1,4,1,1.0,1842,460.5,SIP.ICL,4,2,2,"[LO.ICLL3, SMPL4] -> SIP.ICLL4 -> [LALL3, SMPL3]",LO.ICL,3,SMP,4,LAL,3,SMP,3
12,mixed,mix->FB,mix,FB,1,2,1,4,1,1.0,1835,458.75,SIP.ICL,4,2,2,"[LO.SLPL3, SMPL4] -> SIP.ICLL4 -> [LALL3, SMPL3]",LO.SLP,3,SMP,4,LAL,3,SMP,3
12,mixed,mix->FB,mix,FB,1,2,1,4,1,1.0,1845,461.25,SIP.ICL,4,2,2,"[PLP.ICLL3, SMPL4] -> SIP.ICLL4 -> [LALL3, SMPL3]",PLP.ICL,3,SMP,4,LAL,3,SMP,3
12,mixed,mix->FB,mix,FB,1,2,1,4,1,1.0,1866,466.5,SIP.ICL,4,2,2,"[PLP.SMPL3, SMPL4] -> SIP.ICLL4 -> [LALL3, SMPL3]",PLP.SMP,3,SMP,4,LAL,3,SMP,3
12,mixed,mix->FB,mix,FB,1,2,1,4,1,1.0,1856,464.0,SIP.ICL,4,2,2,"[SMPL4, SMP.SIPL3] -> SIP.ICLL4 -> [LALL3, SMPL3]",SMP,4,SMP.SIP,3,LAL,3,SMP,3
12,mixed,mix->mix,mix,mix,1,2,1,1,1,1.0,184,184.0,SIP.LAL,3,2,2,"[LALL3, LALL4] -> SIP.LALL3 -> [LAL.LOL2, LAL.LOL4]",LAL,3,LAL,4,LAL.LO,2,LAL.LO,4
12,mixed,mix->FF,mix,FF,2,1,1,1,1,1.0,183,183.0,SIP.LAL,3,2,2,"[LALL3, LALL4] -> SIP.LALL3 -> [LAL.LOL4, PLP.LOL4]",LAL,3,LAL,4,LAL.LO,4,PLP.LO,4
149744,mixed,lat->FF,lat,FF,2,0,2,3,3,1.227,2136,712.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,2,MB_ML,2,LH,3,PLP,3
51584,mixed,lat->FF,lat,FF,2,0,2,3,3,1.44,2416,805.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,3,PLP,3
40664,mixed,lat->FF,lat,FF,2,0,2,3,2,1.397,1897,632.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, SIP.LHL3]",MB_CA.MB_ML,2,MB_ML,2,LH,3,SIP.LH,3
26480,mixed,lat->FF,lat,FF,2,0,2,3,3,2.065,1906,635.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, LH.SIPL3]",MB_CA.MB_ML,2,MB_ML,2,LH,3,LH.SIP,3
23816,mixed,lat->FF,lat,FF,2,0,2,3,2,1.706,1898,632.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [CRE.SLPL3, LHL3]",MB_CA.MB_ML,2,MB_ML,2,CRE.SLP,3,LH,3
21607,mixed,lat->FF,lat,FF,2,0,2,3,2,1.084,1555,518.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [PLPL3, SIP.LHL3]",MB_CA.MB_ML,2,MB_ML,2,PLP,3,SIP.LH,3
19512,mixed,lat->FF,lat,FF,2,0,2,3,2,1.309,1946,648.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, MB_MLL3]",MB_CA.MB_ML,2,MB_ML,2,LH,3,MB_ML,3
19106,mixed,lat->FF,lat,FF,2,0,2,3,2,1.979,2177,725.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL3, SIP.LHL3]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,3,SIP.LH,3
18272,mixed,lat->FF,lat,FF,2,0,2,3,3,1.172,1992,664.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_VL.MB_MLL2] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,2,MB_VL.MB_ML,2,LH,3,PLP,3
17448,mixed,lat->FF,lat,FF,2,0,2,3,2,1.035,2222,740.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [CREL3, LHL3]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,CRE,3,LH,3
77024,mixed,lat->mix,lat,mix,1,0,3,3,3,1.29,2008,669.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, PLPL2]",MB_CA.MB_ML,2,MB_ML,2,LH,3,PLP,2
69560,mixed,lat->mix,lat,mix,1,0,3,3,3,2.449,1987,662.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL2, LHL3]",MB_CA.MB_ML,2,MB_ML,2,LH,2,LH,3
