motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
5178962783,mixed,mix->FB,mix,FB,1,2,1,2282,6,1.986,30885,13.534,LO,3,2,2,"[LOL2, LO.LOPL3] -> LOL3 -> [LO.LOPL2, MEL2]",LO,2,LO.LOP,3,LO.LOP,2,ME,2
5137677152,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,3579,3579.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_MLL3] -> MB_ML.MB_CAL3 -> [MB_CA.CREL2, MB_CA.MB_VLL3]",MB_CA.MB_ML,2,MB_CA.MB_ML,3,MB_CA.CRE,2,MB_CA.MB_VL,3
5137677152,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,3579,3579.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.CREL2, MB_CA.MB_MLL3]",MB_CA.MB_ML,2,MB_CA.MB_VL,3,MB_CA.CRE,2,MB_CA.MB_ML,3
5137677152,mixed,lat->FB,lat,FB,0,2,2,1,1,1.0,3579,3579.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL3, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.CREL2, MB_CA.MB_MLL2]",MB_CA.MB_ML,3,MB_CA.MB_VL,3,MB_CA.CRE,2,MB_CA.MB_ML,2
5133033863,mixed,FB->FF,FB,FF,2,2,0,647,33,2.097,8939,13.816,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, LOP.LOL3]",LO.LOP,3,ME.LOP,3,LOP,3,LOP.LO,3
5125075255,mixed,FF->lat,FF,lat,2,0,2,2282,5,1.0,10007,4.385,LO,3,2,2,"[GNG.MEL2, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",GNG.ME,2,ME.LOP,2,LO.LOP,3,ME.LOP,3
5125075248,mixed,mix->lat,mix,lat,1,0,3,2282,3,1.0,10160,4.452,LO,3,2,2,"[LO.MEL3, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.ME,3,ME.LOP,2,LO.LOP,3,ME.LOP,3
5110705110,mixed,lat->mix,lat,mix,0,1,3,2282,2,1.0,10160,4.452,LO,3,2,2,"[LO.MEL3, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",LO.ME,3,ME.LOP,3,LO.LOP,3,ME.LOP,2
5110705104,mixed,mix->mix,mix,mix,1,1,2,2282,2,1.0,10007,4.385,LO,3,2,2,"[GNG.MEL2, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",GNG.ME,2,ME.LOP,3,LO.LOP,3,ME.LOP,2
5100129655,mixed,FF->mix,FF,mix,2,1,1,2282,4,1.869,36749,16.104,LO,3,2,2,"[LO.LOPL2, MEL2] -> LOL3 -> [ME.LOL3, ME.LOPL2]",LO.LOP,2,ME,2,ME.LO,3,ME.LOP,2
5094381082,mixed,FF->mix,FF,mix,2,1,1,2282,5,1.986,38594,16.912,LO,3,2,2,"[LO.LOPL2, MEL2] -> LOL3 -> [MEL3, ME.LOPL2]",LO.LOP,2,ME,2,ME,3,ME.LOP,2
5075830223,mixed,mix->FB,mix,FB,1,2,1,2282,14,1.848,38992,17.087,LO,3,2,2,"[MEL3, ME.LOPL2] -> LOL3 -> [LOL2, MEL2]",ME,3,ME.LOP,2,LO,2,ME,2
5020856777,mixed,mix->FF,mix,FF,2,1,1,647,116,3.096,11082,17.128,LOP,2,2,2,"[ME.LOPL2, ME.LOPL3] -> LOPL2 -> [LO.LOPL3, LOPL3]",ME.LOP,2,ME.LOP,3,LO.LOP,3,LOP,3
5018196288,mixed,FF->lat,FF,lat,2,0,2,1,1,1.0,3729,3729.0,MB_ML.MB_CA,3,2,2,"[AL.LHL2, MB_CA.MB_MLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL3]",AL.LH,2,MB_CA.MB_ML,2,MB_CA.MB_ML,3,MB_CA.MB_VL,3
5018196288,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,3729,3729.0,MB_ML.MB_CA,3,2,2,"[AL.LHL2, MB_CA.MB_MLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL2, MB_CA.MB_VLL3]",AL.LH,2,MB_CA.MB_ML,3,MB_CA.MB_ML,2,MB_CA.MB_VL,3
5018196288,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,3729,3729.0,MB_ML.MB_CA,3,2,2,"[AL.LHL2, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL2, MB_CA.MB_MLL3]",AL.LH,2,MB_CA.MB_VL,3,MB_CA.MB_ML,2,MB_CA.MB_ML,3
5018196288,mixed,mix->lat,mix,lat,1,0,3,1,1,1.0,3595,3595.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_MLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL3, PLP.CREL3]",MB_CA.MB_ML,2,MB_CA.MB_ML,3,MB_CA.MB_VL,3,PLP.CRE,3
5018196288,mixed,mix->lat,mix,lat,1,0,3,1,1,1.0,3595,3595.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL3, PLP.CREL3]",MB_CA.MB_ML,2,MB_CA.MB_VL,3,MB_CA.MB_ML,3,PLP.CRE,3
5018196288,mixed,lat->mix,lat,mix,0,1,3,1,1,1.0,3595,3595.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL3, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL2, PLP.CREL3]",MB_CA.MB_ML,3,MB_CA.MB_VL,3,MB_CA.MB_ML,2,PLP.CRE,3
4973857247,mixed,FF->mix,FF,mix,2,1,1,2282,20,1.298,37147,16.278,LO,3,2,2,"[LOL2, MEL2] -> LOL3 -> [ME.LOL3, ME.LOPL2]",LO,2,ME,2,ME.LO,3,ME.LOP,2
4942793678,mixed,mix->FB,mix,FB,1,2,1,2282,4,1.447,14942,6.548,LO,3,2,2,"[LO.LOPL2, MEL3] -> LOL3 -> [LOL2, ME.LOPL2]",LO.LOP,2,ME,3,LO,2,ME.LOP,2
4891261934,mixed,mix->mix,mix,mix,1,1,2,2282,5,1.403,16394,7.184,LO,3,2,2,"[LOL2, LO.LOPL3] -> LOL3 -> [ME.LOL3, ME.LOPL2]",LO,2,LO.LOP,3,ME.LO,3,ME.LOP,2
4870947074,mixed,FF->FB,FF,FB,2,2,0,2282,14,1.802,33450,14.658,LO,3,2,2,"[LO.LOPL2, MEL2] -> LOL3 -> [LOL2, ME.LOL2]",LO.LOP,2,ME,2,LO,2,ME.LO,2
4830780444,mixed,mix->FF,mix,FF,2,1,1,647,126,2.948,7348,11.357,LOP,2,2,2,"[ME.LOPL2, ME.LOPL3] -> LOPL2 -> [LOPL3, LOP.PLPL3]",ME.LOP,2,ME.LOP,3,LOP,3,LOP.PLP,3
4806928800,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,2988,2988.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL3, MB_MLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL2, MB_CA.MB_VLL3]",MB_CA.MB_ML,3,MB_ML,2,MB_CA.MB_VL,2,MB_CA.MB_VL,3
4806928800,mixed,FF->lat,FF,lat,2,0,2,1,1,1.0,2988,2988.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_VLL2, MB_MLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL3]",MB_CA.MB_VL,2,MB_ML,2,MB_CA.MB_ML,3,MB_CA.MB_VL,3
4806928800,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,2988,2988.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_VLL3, MB_MLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL2]",MB_CA.MB_VL,3,MB_ML,2,MB_CA.MB_ML,3,MB_CA.MB_VL,2
4799200242,mixed,mix->FB,mix,FB,1,2,1,2282,20,1.294,37147,16.278,LO,3,2,2,"[MEL2, ME.LOL3] -> LOL3 -> [LOL2, ME.LOPL2]",ME,2,ME.LO,3,LO,2,ME.LOP,2
4764607804,mixed,FF->mix,FF,mix,2,1,1,2282,418,1.32,41529,18.199,LO,3,2,2,"[MEL2, ME.LOL2] -> LOL3 -> [LOL2, ME.LOL3]",ME,2,ME.LO,2,LO,2,ME.LO,3
4729875356,mixed,mix->FB,mix,FB,1,2,1,2282,305,1.37,41529,18.199,LO,3,2,2,"[MEL2, ME.LOL3] -> LOL3 -> [LOL2, ME.LOL2]",ME,2,ME.LO,3,LO,2,ME.LO,2
4716428691,mixed,lat->FB,lat,FB,0,2,2,2282,5,1.398,16394,7.184,LO,3,2,2,"[LO.LOPL3, ME.LOL3] -> LOL3 -> [LOL2, ME.LOPL2]",LO.LOP,3,ME.LO,3,LO,2,ME.LOP,2
4703584115,mixed,mix->mix,mix,mix,1,1,2,2282,14,1.55,46673,20.453,LO,3,2,2,"[MEL3, ME.LOPL2] -> LOL3 -> [MEL2, ME.LOL3]",ME,3,ME.LOP,2,ME,2,ME.LO,3
4666543920,mixed,mix->lat,mix,lat,1,0,3,52,1,1.0,3650,70.192,MB_ML,3,2,2,"[MB_CA.CREL3, MB_CA.MB_MLL2] -> MB_MLL3 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL3]",MB_CA.CRE,3,MB_CA.MB_ML,2,MB_CA.MB_ML,3,MB_CA.MB_VL,3
4666543920,mixed,lat->mix,lat,mix,0,1,3,52,1,1.0,3650,70.192,MB_ML,3,2,2,"[MB_CA.CREL3, MB_CA.MB_MLL3] -> MB_MLL3 -> [MB_CA.MB_MLL2, MB_CA.MB_VLL3]",MB_CA.CRE,3,MB_CA.MB_ML,3,MB_CA.MB_ML,2,MB_CA.MB_VL,3
4666543920,mixed,lat->mix,lat,mix,0,1,3,52,1,1.0,3650,70.192,MB_ML,3,2,2,"[MB_CA.CREL3, MB_CA.MB_VLL3] -> MB_MLL3 -> [MB_CA.MB_MLL2, MB_CA.MB_MLL3]",MB_CA.CRE,3,MB_CA.MB_VL,3,MB_CA.MB_ML,2,MB_CA.MB_ML,3
4666543920,mixed,mix->lat,mix,lat,1,0,3,52,1,1.0,3650,70.192,MB_ML,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_MLL3] -> MB_MLL3 -> [MB_CA.CREL3, MB_CA.MB_VLL3]",MB_CA.MB_ML,2,MB_CA.MB_ML,3,MB_CA.CRE,3,MB_CA.MB_VL,3
4666543920,mixed,mix->lat,mix,lat,1,0,3,52,1,1.0,3650,70.192,MB_ML,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL3] -> MB_MLL3 -> [MB_CA.CREL3, MB_CA.MB_MLL3]",MB_CA.MB_ML,2,MB_CA.MB_VL,3,MB_CA.CRE,3,MB_CA.MB_ML,3
4666543920,mixed,lat->mix,lat,mix,0,1,3,52,1,1.0,3650,70.192,MB_ML,3,2,2,"[MB_CA.MB_MLL3, MB_CA.MB_VLL3] -> MB_MLL3 -> [MB_CA.CREL3, MB_CA.MB_MLL2]",MB_CA.MB_ML,3,MB_CA.MB_VL,3,MB_CA.CRE,3,MB_CA.MB_ML,2
4657893771,mixed,mix->FB,mix,FB,1,2,1,2282,5,1.611,18561,8.134,LO,3,2,2,"[LO.LOPL2, ME.LOL3] -> LOL3 -> [ME.LOL2, ME.LOPL2]",LO.LOP,2,ME.LO,3,ME.LO,2,ME.LOP,2
4646697840,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,2988,2988.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL3, MB_CA.MB_VLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL3, MB_MLL2]",MB_CA.MB_ML,3,MB_CA.MB_VL,2,MB_CA.MB_VL,3,MB_ML,2
4646697840,mixed,lat->FB,lat,FB,0,2,2,1,1,1.0,2988,2988.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL3, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL2, MB_MLL2]",MB_CA.MB_ML,3,MB_CA.MB_VL,3,MB_CA.MB_VL,2,MB_ML,2
4646697840,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,2988,2988.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_VLL2, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL3, MB_MLL2]",MB_CA.MB_VL,2,MB_CA.MB_VL,3,MB_CA.MB_ML,3,MB_ML,2
4636316358,mixed,FF->lat,FF,lat,2,0,2,2282,26,1.996,32577,14.276,LO,3,2,2,"[AVLP.MEL2, MEL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",AVLP.ME,2,ME,2,LO.LOP,3,ME.LOP,3
4628144061,mixed,mix->mix,mix,mix,1,1,2,2282,9,1.304,15970,6.998,LO,3,2,2,"[ME.LOPL2, ME.LOPL3] -> LOL3 -> [LOL2, ME.LOL3]",ME.LOP,2,ME.LOP,3,LO,2,ME.LO,3
4610187187,mixed,FF->mix,FF,mix,2,1,1,2282,205,1.223,41529,18.199,LO,3,2,2,"[LOL2, MEL2] -> LOL3 -> [ME.LOL2, ME.LOL3]",LO,2,ME,2,ME.LO,2,ME.LO,3
4605400600,mixed,FB->mix,FB,mix,1,2,1,647,57,2.081,9602,14.841,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LO.LOPL2, LOPL3]",LO.LOP,3,ME.LOP,3,LO.LOP,2,LOP,3
4594116497,mixed,FB->FF,FB,FF,2,2,0,647,120,1.752,19526,30.179,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, MEL3]",LO.LOP,3,ME.LOP,3,LOP,3,ME,3
4593963600,mixed,FF->mix,FF,mix,2,1,1,1,1,1.0,2176,2176.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL2, MB_CA.MB_VLL3]",MB_CA.MB_ML,2,MB_ML,2,MB_CA.MB_VL,2,MB_CA.MB_VL,3
4593963600,mixed,FF->mix,FF,mix,2,1,1,1,1,1.0,2176,2176.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_VLL2, MB_MLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL2, MB_CA.MB_VLL3]",MB_CA.MB_VL,2,MB_ML,2,MB_CA.MB_ML,2,MB_CA.MB_VL,3
4593963600,mixed,mix->FB,mix,FB,1,2,1,1,1,1.0,2176,2176.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_VLL3, MB_MLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL2, MB_CA.MB_VLL2]",MB_CA.MB_VL,3,MB_ML,2,MB_CA.MB_ML,2,MB_CA.MB_VL,2
4489394703,mixed,FF->FB,FF,FB,2,2,0,2282,5,1.382,10880,4.768,LO,3,2,2,"[LO.LOPL2, ME.LOPL2] -> LOL3 -> [LOL2, ME.LOL2]",LO.LOP,2,ME.LOP,2,LO,2,ME.LO,2
4486692654,mixed,mix->mix,mix,mix,1,1,2,2282,14,1.603,14914,6.535,LO,3,2,2,"[LOL2, ME.LOL3] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",LO,2,ME.LO,3,LO.LOP,2,LO.LOP,3
4440831480,mixed,FF->mix,FF,mix,2,1,1,1,1,1.0,2176,2176.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL3, MB_MLL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,MB_CA.MB_VL,3,MB_ML,2
