motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
490523,mixed,FB->mix,FB,mix,1,2,1,1802,11,5.361,1263,0.701,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.MB_CAL2, CRE.ALL1]",AL,2,AL.LH,2,AL.MB_CA,2,CRE.AL,1
379028,mixed,FB->mix,FB,mix,1,2,1,1802,11,3.292,1263,0.701,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL2, CRE.ALL1]",AL,2,AL.MB_CA,2,AL.LH,2,CRE.AL,1
310829,mixed,FB->mix,FB,mix,1,2,1,1802,11,3.727,1266,0.703,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.MB_CAL2, AL.PLPL1]",AL,2,AL.LH,2,AL.MB_CA,2,AL.PLP,1
269363,mixed,FB->mix,FB,mix,1,2,1,1802,10,4.167,1263,0.701,AL,1,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL1 -> [ALL2, CRE.ALL1]",AL.LH,2,AL.MB_CA,2,AL,2,CRE.AL,1
224143,mixed,FB->mix,FB,mix,1,2,1,1802,5,2.01,1263,0.701,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.LHL1, AL.MB_CAL2]",AL,2,AL.LH,2,AL.LH,1,AL.MB_CA,2
222430,mixed,FB->mix,FB,mix,1,2,1,1802,4,1.369,1263,0.701,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL1, AL.LHL2]",AL,2,AL.MB_CA,2,AL.LH,1,AL.LH,2
187740,mixed,FB->mix,FB,mix,1,2,1,1802,2,1.002,1262,0.7,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL2, SMP.ALL1]",AL,2,AL.MB_CA,2,AL.LH,2,SMP.AL,1
184804,mixed,FB->mix,FB,mix,1,2,1,1802,4,1.331,1265,0.702,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL2, GNG.ALL1]",AL,2,AL.MB_CA,2,AL.LH,2,GNG.AL,1
177080,mixed,FB->mix,FB,mix,1,2,1,1802,16,4.056,1266,0.703,AL,1,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL1 -> [ALL2, AL.PLPL1]",AL.LH,2,AL.MB_CA,2,AL,2,AL.PLP,1
167604,mixed,FB->mix,FB,mix,1,2,1,1802,17,4.086,1266,0.703,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL2, AL.PLPL1]",AL,2,AL.MB_CA,2,AL.LH,2,AL.PLP,1
5468,mixed,FB->lat,FB,lat,0,2,2,1802,3,1.779,1056,0.586,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL1, CRE.ALL1]",AL,2,AL.MB_CA,2,AL.LH,1,CRE.AL,1
3828,mixed,FB->lat,FB,lat,0,2,2,1802,1,1.0,1055,0.585,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL1, SMP.ALL1]",AL,2,AL.MB_CA,2,AL.LH,1,SMP.AL,1
3828,mixed,FB->lat,FB,lat,0,2,2,1802,1,1.0,1055,0.585,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [CRE.ALL1, SMP.ALL1]",AL,2,AL.MB_CA,2,CRE.AL,1,SMP.AL,1
3477,mixed,FB->lat,FB,lat,0,2,2,1802,2,1.981,1121,0.622,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.LHL1, CRE.ALL1]",AL,2,AL.LH,2,AL.LH,1,CRE.AL,1
3441,mixed,FB->lat,FB,lat,0,2,2,1802,2,1.976,1124,0.624,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.PLPL1, CRE.ALL1]",AL,2,AL.LH,2,AL.PLP,1,CRE.AL,1
3346,mixed,FB->lat,FB,lat,0,2,2,1802,2,1.967,1059,0.588,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.PLPL1, CRE.ALL1]",AL,2,AL.MB_CA,2,AL.PLP,1,CRE.AL,1
2226,mixed,FB->lat,FB,lat,0,2,2,1802,3,1.334,1124,0.624,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.LHL1, AL.PLPL1]",AL,2,AL.LH,2,AL.LH,1,AL.PLP,1
2118,mixed,FB->lat,FB,lat,0,2,2,1802,2,1.364,357,0.198,AL,1,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL1, CRE.ALL1]",AL.LH,2,AL.MB_CA,2,AL.LH,1,CRE.AL,1
1782,mixed,FB->lat,FB,lat,0,2,2,1802,1,1.0,356,0.198,AL,1,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL1, SMP.ALL1]",AL.LH,2,AL.MB_CA,2,AL.LH,1,SMP.AL,1
1782,mixed,FB->lat,FB,lat,0,2,2,1802,1,1.0,356,0.198,AL,1,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL1 -> [CRE.ALL1, SMP.ALL1]",AL.LH,2,AL.MB_CA,2,CRE.AL,1,SMP.AL,1
3854392,mixed,FB->FF,FB,FF,2,2,0,1802,22,4.551,1266,0.703,AL,1,2,2,"[ALL2, LH.ALL2] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,LH.AL,2,AL.LH,2,AL.MB_CA,2
