waist,n_pattern,massa,massa_max
LO.VESL3,9556,2605801.0,42122.0
IPS.PLPL3,82799,2604055.0,2069.0
LAL.CREL3,63924,2534189.0,2016.0
LH.MB_VLL2,36128,2443813.0,9360.0
LO.SPSL3,31006,2398194.0,7256.0
SMP.FLAL3,24715,2383255.0,56190.0
SPS.LOPL2,15732,2363924.0,24288.0
AL.PLPL1,4961,2355310.0,32864.0
GNG.LHL2,15960,2243954.0,21280.0
MEL1,13364,2124480.0,59127.0
FLAL2,20985,2107103.0,5336.0
FLAL3,11026,2096619.0,9828.0
GNGL2,37458,2052959.0,8068.0
LO.ICLL2,9145,2051208.0,29136.0
VES.PLPL2,92581,1955139.0,792.0
PVLPL2,8116,1938897.0,46662.0
LO.MEL1,1190,1866549.0,161568.0
PRW.GNGL2,4018,1770798.0,51356.0
ME.PLPL3,6186,1740596.0,31798.0
LOP.LOL2,17890,1645150.0,10720.0
PLP.SADL3,54858,1643660.0,920.0
SMP.LOL3,4812,1561399.0,19890.0
SAD.WEDL2,39338,1555378.0,1598.0
AMMC.WEDL2,21224,1550093.0,7016.0
SMP.MB_PEDL3,10309,1500425.0,8577.0
ME.SPSL3,3785,1491127.0,24015.0
IPSL1,26363,1490551.0,4804.0
AOTUL3,1280,1482873.0,45360.0
SIP.LHL3,10299,1478445.0,14112.0
FLA.SMPL2,10055,1428780.0,19628.0
PLP.VESL3,60606,1411585.0,660.0
SLP.ICLL3,31508,1400959.0,2400.0
SAD.GNGL2,37459,1364962.0,2436.0
LOP.MEL3,3980,1357685.0,36624.0
PLP.SMPL3,22904,1336693.0,8002.0
GNG.SMPL2,9882,1301190.0,72548.0
GNG.AVLPL2,40296,1294161.0,2367.0
SPSL2,46517,1270879.0,1443.0
PLP.GNGL2,65490,1221587.0,180.0
GNG.SPSL1,25460,1158980.0,2176.0
ME.PLPL1,10306,1154665.0,12726.0
LO.AVLPL1,671,1132547.0,264010.0
SAD.AMMCL2,10948,1127845.0,19698.0
AL.VESL2,12273,1120531.0,6252.0
IPS.WEDL2,31490,1111346.0,2160.0
AMMC.SADL2,11721,1053513.0,7920.0
GNG.SLPL2,22239,1026980.0,13268.0
PLP.LHL3,33462,998140.0,1456.0
SLP.SMPL2,9100,995286.0,23534.0
SPS.LOL3,25697,973237.0,2340.0
LALL1,29464,967672.0,1300.0
PLP.SPSL3,37249,944362.0,3024.0
PLP.VESL2,41651,936922.0,504.0
SMP.VESL2,43598,926228.0,690.0
SCLL3,24873,900353.0,2451.0
ME.LAL2,834,893292.0,43995.0
IPS.LOPL1,4363,879038.0,11035.0
LO.LOPL3,2037,877770.0,85646.0
AL.IPSL2,11920,876120.0,6768.0
SLPL2,21708,867154.0,2934.0
PLPL1,14404,856197.0,6440.0
AMMC.IPSL2,13891,842555.0,2688.0
PLP.MEL1,1541,837509.0,43611.0
WED.PLPL2,33585,798061.0,1440.0
CRE.FLAL2,29266,771043.0,1430.0
LO.SPSL2,11468,733408.0,3368.0
PLP.SCLL3,15064,705767.0,1796.0
SAD.ALL1,3548,686732.0,13104.0
LO.PVLPL3,4444,686265.0,19742.0
IPSL3,18865,679368.0,2413.0
GNG.VESL3,26791,677355.0,1120.0
LO.VESL1,7487,676649.0,11736.0
SMP.PRWL3,4764,676435.0,17284.0
ME.LOPL3,2636,663644.0,59172.0
GNG.SLPL3,12818,643633.0,5280.0
LOP.LOL3,5536,643615.0,16682.0
CRE.ALL1,1284,640855.0,24960.0
SAD.IPSL2,14984,612335.0,3676.0
PLP.SLPL3,17601,582903.0,1092.0
IPS.LALL3,9322,567018.0,6512.0
SMP.LHL2,12238,564373.0,4216.0
GNG.PRWL3,3855,560044.0,19927.0
PLP.SLPL2,13011,551391.0,2100.0
SAD.AVLPL3,7195,548032.0,3192.0
LAL.WEDL1,5648,524700.0,2646.0
ME.AVLPL1,1861,523532.0,24746.0
IPS.LOPL3,4008,514189.0,14386.0
PLP.ALL2,11985,503218.0,1532.0
IPS.GNGL3,14711,497213.0,1440.0
AL.SMPL2,6955,489406.0,4553.0
SMP.GNGL2,5167,477726.0,11208.0
SPS.GNGL2,28009,474036.0,160.0
SMP.MB_VLL3,5656,463165.0,5388.0
AMMCL2,8850,463056.0,1872.0
AMMC.AVLPL2,6619,451276.0,2592.0
AL.PVLPL2,6543,449724.0,2160.0
LO.LOPL2,3766,443378.0,10030.0
CRE.LHL2,6203,432223.0,5460.0
WED.PLPL3,17175,405972.0,1020.0
MB_PED.MB_CAL3,8773,396868.0,840.0
LH.SLPL3,7198,395149.0,5551.0
AMEL3,5077,386473.0,4095.0
LAL.IPSL1,4082,375621.0,6400.0
GNG.SADL2,6398,358553.0,1152.0
WED.SPSL3,19339,348204.0,240.0
SAD.LOPL3,4626,347599.0,5376.0
AMEL2,6996,340185.0,4224.0
SMP.ALL1,418,315757.0,9576.0
