livello_fan_in,livello_waist,livello_fan_out,massa
2,2,2,9398041227.0
3,2,2,8090521528.0
2,2,1,7636667629.0
3,2,1,5805250795.0
1,2,2,5595804211.0
2,2,3,5154568320.0
1,2,1,4483509260.0
3,2,3,4259195661.0
2,1,2,3243209870.0
2,1,1,2974884362.0
3,3,2,2370365277.0
3,3,3,2347617213.0
1,2,3,2181005097.0
1,1,2,1964416062.0
1,1,1,1735578806.0
2,3,3,1621952231.0
2,3,2,1477638019.0
