motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
50938310,mixed,BWD->mix,BWD,mix,1,2,1,45,3,2.003,48122,1069.378,visual_centrifugal,1,2,2,"[centralL2, descendingL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",central,2,descending,2,optic,1,optic,2
49525571,mixed,mix->mix,mix,mix,1,1,2,1062,356,9.703,80415,75.72,visual_projection,2,2,2,"[opticL2, opticL3] -> visual_projectionL2 -> [centralL2, centralL3]",optic,2,optic,3,central,2,central,3
47518597,mixed,LAT->mix,LAT,mix,0,1,3,81,5,1.0,68730,848.519,visual_centrifugal,3,2,2,"[ascendingL3, visual_projectionL3] -> visual_centrifugalL3 -> [opticL2, opticL3]",ascending,3,visual_projection,3,optic,2,optic,3
47511970,mixed,LAT->mix,LAT,mix,0,1,3,81,1,1.0,68386,844.272,visual_centrifugal,3,2,2,"[descendingL3, visual_projectionL3] -> visual_centrifugalL3 -> [opticL2, opticL3]",descending,3,visual_projection,3,optic,2,optic,3
46642496,mixed,mix->mix,mix,mix,1,1,2,311,63,8.139,75518,242.823,visual_centrifugal,2,2,2,"[ascendingL2, centralL3] -> visual_centrifugalL2 -> [opticL2, opticL3]",ascending,2,central,3,optic,2,optic,3
46600911,mixed,mix->mix,mix,mix,1,1,2,35584,104,3.222,34032,0.956,optic,2,2,2,"[opticL3, visual_projectionL2] -> opticL2 -> [visual_centrifugalL2, visual_projectionL3]",optic,3,visual_projection,2,visual_centrifugal,2,visual_projection,3
45167429,mixed,BWD->mix,BWD,mix,1,2,1,311,40,5.364,75450,242.605,visual_centrifugal,2,2,2,"[ascendingL3, centralL3] -> visual_centrifugalL2 -> [opticL2, opticL3]",ascending,3,central,3,optic,2,optic,3
44993670,mixed,mix->mix,mix,mix,1,2,1,311,34,2.622,52134,167.633,visual_centrifugal,2,2,2,"[centralL3, visual_projectionL1] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,3,visual_projection,1,optic,1,optic,2
42552438,mixed,LAT->mix,LAT,mix,0,1,3,311,10,1.993,48122,154.733,visual_centrifugal,2,2,2,"[centralL2, descendingL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,2,descending,2,optic,1,optic,2
39829690,mixed,mix->mix,mix,mix,2,2,0,311,73,4.319,46948,150.958,visual_centrifugal,2,2,2,"[centralL1, centralL3] -> visual_centrifugalL2 -> [opticL1, opticL3]",central,1,central,3,optic,1,optic,3
39657253,mixed,LAT->mix,LAT,mix,0,1,3,311,40,3.937,44235,142.235,visual_centrifugal,2,2,2,"[ascendingL2, visual_projectionL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,2,visual_projection,2,optic,1,optic,2
38605707,mixed,mix->mix,mix,mix,2,0,2,311,56,8.25,71133,228.723,visual_centrifugal,2,2,2,"[ascendingL1, centralL2] -> visual_centrifugalL2 -> [opticL2, opticL3]",ascending,1,central,2,optic,2,optic,3
37163677,mixed,BWD->mix,BWD,mix,1,2,1,45,17,3.782,48381,1075.133,visual_centrifugal,1,2,2,"[centralL2, visual_centrifugalL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",central,2,visual_centrifugal,2,optic,1,optic,2
35410511,mixed,mix->mix,mix,mix,1,1,2,311,102,11.246,69305,222.846,visual_centrifugal,2,2,2,"[visual_projectionL2, visual_projectionL3] -> visual_centrifugalL2 -> [opticL2, opticL3]",visual_projection,2,visual_projection,3,optic,2,optic,3
34762678,mixed,mix->mix,mix,mix,0,2,2,311,16,2.014,48213,155.026,visual_centrifugal,2,2,2,"[centralL2, descendingL3] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,2,descending,3,optic,1,optic,2
