motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
6092,mixed,FWD->LAT,FWD,LAT,2,0,2,487,11,6.328,18157,37.283,ascending,3,2,2,"[ascendingL2, centralL2] -> ascendingL3 -> [centralL3, visual_projectionL3]",ascending,2,central,2,central,3,visual_projection,3
5961,mixed,mix->mix,mix,mix,1,1,2,487,4,1.066,10185,20.914,ascending,3,2,2,"[ascendingL2, descendingL3] -> ascendingL3 -> [centralL3, descendingL2]",ascending,2,descending,3,central,3,descending,2
9026828,mixed,mix->FWD,mix,FWD,2,1,1,535,2,1.0,15787,29.508,central,1,2,2,"[sensoryL1, sensoryL2] -> centralL1 -> [ascendingL2, centralL2]",sensory,1,sensory,2,ascending,2,central,2
1283590,mixed,BWD->mix,BWD,mix,1,2,1,535,2,1.0,15787,29.508,central,1,2,2,"[centralL2, sensoryL2] -> centralL1 -> [ascendingL2, sensoryL1]",central,2,sensory,2,ascending,2,sensory,1
868590,mixed,mix->FWD,mix,FWD,2,1,1,535,2,1.0,15787,29.508,central,1,2,2,"[centralL2, sensoryL1] -> centralL1 -> [ascendingL2, sensoryL2]",central,2,sensory,1,ascending,2,sensory,2
57993,mixed,mix->FWD,mix,FWD,2,1,1,535,43,5.582,6471,12.095,central,1,2,2,"[ascendingL1, ascendingL2] -> centralL1 -> [centralL2, visual_centrifugalL2]",ascending,1,ascending,2,central,2,visual_centrifugal,2
47534,mixed,BWD->FWD,BWD,FWD,2,2,0,535,36,2.985,7380,13.794,central,1,2,2,"[ascendingL2, visual_projectionL2] -> centralL1 -> [centralL2, visual_centrifugalL2]",ascending,2,visual_projection,2,central,2,visual_centrifugal,2
46299,mixed,mix->FWD,mix,FWD,2,1,1,535,24,3.224,6978,13.043,central,1,2,2,"[ascendingL1, visual_projectionL2] -> centralL1 -> [centralL2, visual_centrifugalL2]",ascending,1,visual_projection,2,central,2,visual_centrifugal,2
41907,mixed,BWD->mix,BWD,mix,1,2,1,535,33,6.846,6363,11.893,central,1,2,2,"[ascendingL2, centralL2] -> centralL1 -> [visual_centrifugalL1, visual_centrifugalL2]",ascending,2,central,2,visual_centrifugal,1,visual_centrifugal,2
35607,mixed,BWD->mix,BWD,mix,1,2,1,535,28,6.097,6870,12.841,central,1,2,2,"[centralL2, visual_projectionL2] -> centralL1 -> [visual_centrifugalL1, visual_centrifugalL2]",central,2,visual_projection,2,visual_centrifugal,1,visual_centrifugal,2
29484,mixed,BWD->FWD,BWD,FWD,2,2,0,535,9,1.693,6877,12.854,central,1,2,2,"[descendingL2, visual_projectionL2] -> centralL1 -> [centralL2, visual_centrifugalL2]",descending,2,visual_projection,2,central,2,visual_centrifugal,2
29328,mixed,mix->mix,mix,mix,1,1,2,535,21,6.538,5961,11.142,central,1,2,2,"[ascendingL1, centralL2] -> centralL1 -> [visual_centrifugalL1, visual_centrifugalL2]",ascending,1,central,2,visual_centrifugal,1,visual_centrifugal,2
27193,mixed,BWD->FWD,BWD,FWD,2,2,0,535,10,1.499,6370,11.907,central,1,2,2,"[ascendingL2, descendingL2] -> centralL1 -> [centralL2, visual_centrifugalL2]",ascending,2,descending,2,central,2,visual_centrifugal,2
24581,mixed,mix->FWD,mix,FWD,2,1,1,535,7,1.725,5968,11.155,central,1,2,2,"[ascendingL1, descendingL2] -> centralL1 -> [centralL2, visual_centrifugalL2]",ascending,1,descending,2,central,2,visual_centrifugal,2
23433,mixed,BWD->mix,BWD,mix,1,2,1,535,19,3.878,7114,13.297,central,1,2,2,"[ascendingL2, visual_projectionL2] -> centralL1 -> [centralL2, visual_centrifugalL1]",ascending,2,visual_projection,2,central,2,visual_centrifugal,1
15695,mixed,mix->mix,mix,mix,1,1,2,535,23,6.337,6205,11.598,central,1,2,2,"[ascendingL1, ascendingL2] -> centralL1 -> [centralL2, visual_centrifugalL1]",ascending,1,ascending,2,central,2,visual_centrifugal,1
15507,mixed,mix->FWD,mix,FWD,2,1,1,535,25,2.875,6906,12.908,central,1,2,2,"[visual_projectionL1, visual_projectionL2] -> centralL1 -> [centralL2, visual_centrifugalL2]",visual_projection,1,visual_projection,2,central,2,visual_centrifugal,2
11905,mixed,mix->FWD,mix,FWD,2,1,1,535,20,1.789,6399,11.961,central,1,2,2,"[ascendingL2, visual_projectionL1] -> centralL1 -> [centralL2, visual_centrifugalL2]",ascending,2,visual_projection,1,central,2,visual_centrifugal,2
11570,mixed,BWD->mix,BWD,mix,1,2,1,535,6,1.58,5860,10.953,central,1,2,2,"[centralL2, descendingL2] -> centralL1 -> [visual_centrifugalL1, visual_centrifugalL2]",central,2,descending,2,visual_centrifugal,1,visual_centrifugal,2
11543,mixed,mix->mix,mix,mix,1,1,2,535,18,5.41,5889,11.007,central,1,2,2,"[centralL2, visual_projectionL1] -> centralL1 -> [visual_centrifugalL1, visual_centrifugalL2]",central,2,visual_projection,1,visual_centrifugal,1,visual_centrifugal,2
11325,mixed,LAT->FWD,LAT,FWD,2,0,2,535,14,2.208,5997,11.209,central,1,2,2,"[ascendingL1, visual_projectionL1] -> centralL1 -> [centralL2, visual_centrifugalL2]",ascending,1,visual_projection,1,central,2,visual_centrifugal,2
9437,mixed,mix->mix,mix,mix,1,1,2,535,16,3.924,6712,12.546,central,1,2,2,"[ascendingL1, visual_projectionL2] -> centralL1 -> [centralL2, visual_centrifugalL1]",ascending,1,visual_projection,2,central,2,visual_centrifugal,1
31682459,mixed,mix->mix,mix,mix,2,1,1,5452,298,15.573,19750,3.623,central,2,2,2,"[sensoryL1, sensoryL2] -> centralL2 -> [centralL1, centralL3]",sensory,1,sensory,2,central,1,central,3
14758246,mixed,FWD->mix,FWD,mix,3,0,1,5452,71,4.563,19750,3.623,central,2,2,2,"[centralL1, sensoryL1] -> centralL2 -> [centralL3, sensoryL2]",central,1,sensory,1,central,3,sensory,2
7780871,mixed,mix->mix,mix,mix,2,1,1,5452,60,4.356,19750,3.623,central,2,2,2,"[centralL1, sensoryL2] -> centralL2 -> [centralL3, sensoryL1]",central,1,sensory,2,central,3,sensory,1
4680188,mixed,mix->mix,mix,mix,1,2,1,5452,70,4.722,19750,3.623,central,2,2,2,"[centralL3, sensoryL1] -> centralL2 -> [centralL1, sensoryL2]",central,3,sensory,1,central,1,sensory,2
3843267,mixed,mix->mix,mix,mix,1,2,1,5452,77,7.066,19750,3.623,central,2,2,2,"[centralL1, centralL3] -> centralL2 -> [sensoryL1, sensoryL2]",central,1,central,3,sensory,1,sensory,2
2402267,mixed,mix->BWD,mix,BWD,0,3,1,5452,54,4.308,19750,3.623,central,2,2,2,"[centralL3, sensoryL2] -> centralL2 -> [centralL1, sensoryL1]",central,3,sensory,2,central,1,sensory,1
1249004,pure_FWD,FWD->FWD,FWD,FWD,4,0,0,5452,30,5.186,18436,3.382,central,2,2,2,"[centralL1, sensoryL1] -> centralL2 -> [centralL3, visual_projectionL3]",central,1,sensory,1,central,3,visual_projection,3
773452,mixed,mix->mix,mix,mix,1,2,1,5452,134,7.187,13747,2.521,central,2,2,2,"[visual_projectionL2, visual_projectionL3] -> centralL2 -> [centralL1, centralL3]",visual_projection,2,visual_projection,3,central,1,central,3
587810,mixed,mix->FWD,mix,FWD,3,0,1,5452,21,2.149,16714,3.066,central,2,2,2,"[centralL1, sensoryL2] -> centralL2 -> [centralL3, visual_projectionL3]",central,1,sensory,2,central,3,visual_projection,3
355021,mixed,mix->mix,mix,mix,1,2,1,5452,12,2.882,10458,1.918,central,2,2,2,"[descendingL3, sensoryL1] -> centralL2 -> [centralL1, sensoryL2]",descending,3,sensory,1,central,1,sensory,2
348436,mixed,mix->mix,mix,mix,1,2,1,5452,188,4.894,11012,2.02,central,2,2,2,"[ascendingL2, ascendingL3] -> centralL2 -> [centralL1, centralL3]",ascending,2,ascending,3,central,1,central,3
345994,mixed,mix->mix,mix,mix,2,1,1,5452,53,1.631,13747,2.521,central,2,2,2,"[centralL1, centralL3] -> centralL2 -> [visual_projectionL2, visual_projectionL3]",central,1,central,3,visual_projection,2,visual_projection,3
345110,pure_FWD,FWD->FWD,FWD,FWD,4,0,0,5452,37,1.494,15864,2.91,central,2,2,2,"[centralL1, sensoryL1] -> centralL2 -> [centralL3, descendingL3]",central,1,sensory,1,central,3,descending,3
339584,mixed,mix->mix,mix,mix,2,2,0,5452,47,4.5,15864,2.91,central,2,2,2,"[descendingL3, sensoryL1] -> centralL2 -> [centralL1, centralL3]",descending,3,sensory,1,central,1,central,3
339043,mixed,mix->FWD,mix,FWD,3,0,1,5452,23,3.227,20644,3.787,central,2,2,2,"[sensoryL1, sensoryL2] -> centralL2 -> [centralL3, sensoryL3]",sensory,1,sensory,2,central,3,sensory,3
311107,mixed,mix->mix,mix,mix,1,1,2,5452,11,2.764,10870,1.994,central,2,2,2,"[ascendingL2, sensoryL1] -> centralL2 -> [centralL1, sensoryL2]",ascending,2,sensory,1,central,1,sensory,2
297991,mixed,mix->mix,mix,mix,2,1,1,5452,21,3.357,20644,3.787,central,2,2,2,"[centralL3, sensoryL1] -> centralL2 -> [sensoryL2, sensoryL3]",central,3,sensory,1,sensory,2,sensory,3
290857,mixed,mix->mix,mix,mix,2,0,2,5452,19,4.199,19770,3.626,central,2,2,2,"[ascendingL2, sensoryL1] -> centralL2 -> [centralL3, sensoryL2]",ascending,2,sensory,1,central,3,sensory,2
281692,mixed,mix->mix,mix,mix,2,1,1,5452,14,3.792,19358,3.551,central,2,2,2,"[descendingL3, sensoryL1] -> centralL2 -> [centralL3, sensoryL2]",descending,3,sensory,1,central,3,sensory,2
271352,mixed,mix->mix,mix,mix,1,2,1,5452,7,4.551,10458,1.918,central,2,2,2,"[centralL1, descendingL3] -> centralL2 -> [sensoryL1, sensoryL2]",central,1,descending,3,sensory,1,sensory,2
2234338,mixed,FWD->mix,FWD,mix,2,1,1,9435,39,2.456,11465,1.215,central,3,2,2,"[ascendingL2, centralL2] -> centralL3 -> [sensoryL2, sensoryL3]",ascending,2,central,2,sensory,2,sensory,3
1539146,mixed,FWD->mix,FWD,mix,2,1,1,9435,26,2.526,11465,1.215,central,3,2,2,"[ascendingL2, sensoryL2] -> centralL3 -> [centralL2, sensoryL3]",ascending,2,sensory,2,central,2,sensory,3
1390205,mixed,FWD->mix,FWD,mix,2,1,1,9435,8,2.074,11465,1.215,central,3,2,2,"[centralL2, sensoryL2] -> centralL3 -> [ascendingL2, sensoryL3]",central,2,sensory,2,ascending,2,sensory,3
1109837,mixed,mix->BWD,mix,BWD,1,2,1,9435,27,2.3,11465,1.215,central,3,2,2,"[ascendingL2, sensoryL3] -> centralL3 -> [centralL2, sensoryL2]",ascending,2,sensory,3,central,2,sensory,2
1045877,mixed,mix->BWD,mix,BWD,1,2,1,9435,8,2.013,11465,1.215,central,3,2,2,"[centralL2, sensoryL3] -> centralL3 -> [ascendingL2, sensoryL2]",central,2,sensory,3,ascending,2,sensory,2
1025585,mixed,mix->mix,mix,mix,1,1,2,9435,12,2.075,6500,0.689,central,3,2,2,"[ascendingL2, ascendingL3] -> centralL3 -> [sensoryL2, sensoryL3]",ascending,2,ascending,3,sensory,2,sensory,3
721516,mixed,mix->BWD,mix,BWD,1,2,1,9435,24,2.098,11465,1.215,central,3,2,2,"[sensoryL2, sensoryL3] -> centralL3 -> [ascendingL2, centralL2]",sensory,2,sensory,3,ascending,2,central,2
684673,mixed,mix->mix,mix,mix,1,1,2,9435,6,2.02,6500,0.689,central,3,2,2,"[ascendingL3, sensoryL2] -> centralL3 -> [ascendingL2, sensoryL3]",ascending,3,sensory,2,ascending,2,sensory,3
657341,mixed,mix->mix,mix,mix,1,1,2,9435,14,2.257,11397,1.208,central,3,2,2,"[ascendingL3, centralL2] -> centralL3 -> [sensoryL2, sensoryL3]",ascending,3,central,2,sensory,2,sensory,3
637584,mixed,mix->BWD,mix,BWD,1,2,1,9435,12,2.049,10523,1.115,central,3,2,2,"[ascendingL2, ascendingL3] -> centralL3 -> [centralL2, sensoryL2]",ascending,2,ascending,3,central,2,sensory,2
628603,mixed,mix->BWD,mix,BWD,1,2,1,9435,7,2.008,10523,1.115,central,3,2,2,"[ascendingL3, centralL2] -> centralL3 -> [ascendingL2, sensoryL2]",ascending,3,central,2,ascending,2,sensory,2
515424,mixed,LAT->BWD,LAT,BWD,0,2,2,9435,6,1.997,6500,0.689,central,3,2,2,"[ascendingL3, sensoryL3] -> centralL3 -> [ascendingL2, sensoryL2]",ascending,3,sensory,3,ascending,2,sensory,2
459051,mixed,mix->mix,mix,mix,1,1,2,9435,10,2.372,11397,1.208,central,3,2,2,"[ascendingL3, sensoryL2] -> centralL3 -> [centralL2, sensoryL3]",ascending,3,sensory,2,central,2,sensory,3
429471,mixed,mix->BWD,mix,BWD,1,2,1,9435,16,2.036,10523,1.115,central,3,2,2,"[ascendingL3, sensoryL2] -> centralL3 -> [ascendingL2, centralL2]",ascending,3,sensory,2,ascending,2,central,2
428612,mixed,FWD->LAT,FWD,LAT,2,0,2,9435,6,2.188,6500,0.689,central,3,2,2,"[ascendingL2, sensoryL2] -> centralL3 -> [ascendingL3, sensoryL3]",ascending,2,sensory,2,ascending,3,sensory,3
388469,mixed,mix->mix,mix,mix,1,1,2,9435,15,2.191,7923,0.84,central,3,2,2,"[ascendingL2, ascendingL3] -> centralL3 -> [centralL2, sensoryL3]",ascending,2,ascending,3,central,2,sensory,3
378447,mixed,FWD->mix,FWD,mix,2,1,1,9435,8,2.016,10523,1.115,central,3,2,2,"[ascendingL2, centralL2] -> centralL3 -> [ascendingL3, sensoryL2]",ascending,2,central,2,ascending,3,sensory,2
370779,mixed,mix->mix,mix,mix,1,1,2,9435,9,2.028,7923,0.84,central,3,2,2,"[ascendingL3, centralL2] -> centralL3 -> [ascendingL2, sensoryL3]",ascending,3,central,2,ascending,2,sensory,3
326336,mixed,LAT->BWD,LAT,BWD,0,2,2,9435,13,2.185,11397,1.208,central,3,2,2,"[ascendingL3, sensoryL3] -> centralL3 -> [centralL2, sensoryL2]",ascending,3,sensory,3,central,2,sensory,2
322014,mixed,mix->mix,mix,mix,1,1,2,9435,6,2.194,6500,0.689,central,3,2,2,"[ascendingL2, sensoryL3] -> centralL3 -> [ascendingL3, sensoryL2]",ascending,2,sensory,3,ascending,3,sensory,2
